# Sat Mar 29 11:04:17 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.0070156 2 0 0.000574713 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.0283941 2 0 0.00287274 
6000 2 0.0070156 2 0 0.000574713 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 2 0.0467158 2 0 0.00517093 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 2 0.0307983 2 0 0.00316001 
18000 2 0.135561 2 0 0.0189601 
19000 2 0.0941944 2 0 0.0120655 
20000 2 0.657856 2 0 0.170066 
21000 2 0.706617 2 0 0.192473 
22000 2 0.693966 2 0 0.186441 
23000 2 0.692131 2 0 0.185579 
24000 2 0.688552 2 0 0.183908 
25000 2 0.776189 2 0 0.228957 
26000 2 0.737616 2 0 0.207986 
27000 2 0.691517 2 0 0.185292 
28000 2 0.794352 2 0 0.239586 
29000 2 0.784155 2 0 0.233554 
30000 2 0.748015 2 0 0.213444 
31000 2 0.756044 2 0 0.217754 
32000 2 0.815687 2 0 0.252801 
33000 2 0.733719 2 0 0.205975 
34000 2 0.619817 2 0 0.154023 
35000 2 0.727523 2 0 0.202815 
36000 2 0.707919 2 0 0.193103 
37000 2 0.681596 2 0 0.180695 
38000 2 0.734836 2 0 0.20655 
39000 2 0.710759 2 0 0.194484 
40000 3 0.736047 3 0 0.204252 
41000 3 0.892549 3 0 0.223499 
42000 3 1.35296 3 0 0.388969 
43000 3 1.37362 3 0 0.401896 
44000 3 1.27607 3 0 0.345977 
45000 3 1.36306 3 0 0.395402 
46000 3 1.41753 3 0 0.43522 
47000 3 1.39059 3 0 0.412812 
48000 3 1.33068 3 0 0.375754 
49000 3 1.40563 3 0 0.422867 
50000 3 1.3466 3 0 0.385234 
51000 3 1.35593 3 0 0.390692 
52000 3 1.43843 3 0 0.446711 
53000 3 1.36537 3 0 0.397874 
54000 3 1.38434 3 0 0.409078 
55000 3 1.34146 3 0 0.382074 
56000 3 1.39459 3 0 0.418271 
57000 3 1.35837 3 0 0.393565 
58000 3 1.33955 3 0 0.38351 
59000 3 1.30018 3 0 0.358805 
60000 3 1.34441 3 0 0.38466 
61000 3 1.33597 3 0 0.378914 
62000 3 1.40238 3 0 0.422005 
63000 3 1.37937 3 0 0.408503 
64000 3 1.3381 3 0 0.380638 
65000 3 1.28871 3 0 0.352485 
66000 3 1.33899 3 0 0.381034 
67000 3 1.37795 3 0 0.405343 
68000 3 1.34542 3 0 0.38466 
69000 3 1.35837 3 0 0.393565 
70000 3 1.32009 3 0 0.369721 
71000 3 1.39091 3 0 0.413387 
72000 3 1.32774 3 0 0.37403 
73000 3 1.41479 3 0 0.433209 
74000 3 1.41693 3 0 0.434358 
75000 3 1.40457 3 0 0.423442 
76000 3 1.34365 3 0 0.38351 
77000 3 1.34102 3 0 0.381787 
78000 3 1.45386 3 0 0.458776 
79000 3 1.43787 3 0 0.446423 
80000 3 1.42365 3 0 0.43838 
81000 3 1.42199 3 0 0.43522 
82000 3 1.36791 3 0 0.399598 
83000 3 1.36597 3 0 0.397701 
84000 3 1.38701 3 0 0.410345 
85000 3 1.44592 3 0 0.452456 
86000 3 1.41558 3 0 0.430049 
87000 3 1.3712 3 0 0.400172 
88000 3 1.38199 3 0 0.407067 
89000 3 1.3553 3 0 0.392991 
90000 3 1.40686 3 0 0.425165 
91000 3 1.3681 3 0 0.398449 
92000 3 1.38504 3 0 0.409078 
93000 3 1.39653 3 0 0.416667 
94000 3 1.38845 3 0 0.411376 
95000 3 1.43116 3 0 0.442976 
96000 3 1.42061 3 0 0.433458 
97000 3 1.39975 3 0 0.418845 
98000 3 1.34983 3 0 0.388969 
99000 3 1.32789 3 0 0.37518 
100000 3 1.42353 3 0 0.437231 
