# Avida tasks data
# Mon Mar 24 16:13:37 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 717 
4000 975 
5000 957 
6000 836 
7000 951 
8000 825 
9000 760 
10000 683 
11000 693 
12000 797 
13000 867 
14000 634 
15000 719 
16000 839 
17000 828 
18000 790 
19000 765 
20000 778 
21000 728 
22000 684 
23000 765 
24000 606 
25000 773 
26000 794 
27000 954 
28000 937 
29000 805 
30000 715 
31000 748 
32000 713 
33000 682 
34000 772 
35000 836 
36000 775 
37000 874 
38000 883 
39000 906 
40000 791 
41000 805 
42000 718 
43000 725 
44000 861 
45000 715 
46000 641 
47000 679 
48000 698 
49000 684 
50000 700 
51000 887 
52000 996 
53000 919 
54000 734 
55000 998 
56000 937 
57000 899 
58000 1000 
59000 876 
60000 910 
61000 844 
62000 937 
63000 871 
64000 973 
65000 1084 
66000 852 
67000 956 
68000 958 
69000 910 
70000 1133 
71000 947 
72000 791 
73000 892 
74000 892 
75000 746 
76000 1163 
77000 1203 
78000 903 
79000 951 
80000 758 
81000 882 
82000 945 
83000 991 
84000 962 
85000 977 
86000 882 
87000 861 
88000 792 
89000 895 
90000 919 
91000 931 
92000 718 
93000 777 
94000 944 
95000 717 
96000 841 
97000 880 
98000 867 
99000 984 
100000 1179 
