# Avida tasks data
# Mon Mar 24 16:37:25 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 126 
5000 748 
6000 874 
7000 726 
8000 725 
9000 755 
10000 772 
11000 839 
12000 793 
13000 814 
14000 676 
15000 592 
16000 605 
17000 918 
18000 1210 
19000 1026 
20000 956 
21000 988 
22000 988 
23000 907 
24000 943 
25000 855 
26000 871 
27000 898 
28000 1029 
29000 1056 
30000 1148 
31000 1319 
32000 1253 
33000 1388 
34000 1250 
35000 1082 
36000 1287 
37000 1157 
38000 1286 
39000 1448 
40000 1342 
41000 1322 
42000 1181 
43000 1089 
44000 1294 
45000 1581 
46000 1369 
47000 1243 
48000 1361 
49000 1418 
50000 1325 
51000 1469 
52000 1449 
53000 1239 
54000 1222 
55000 1189 
56000 1304 
57000 1202 
58000 1121 
59000 1182 
60000 1036 
61000 1360 
62000 1398 
63000 1266 
64000 1245 
65000 1278 
66000 1244 
67000 1280 
68000 1322 
69000 1341 
70000 1096 
71000 1161 
72000 1396 
73000 1291 
74000 1186 
75000 1318 
76000 1229 
77000 1250 
78000 1379 
79000 1223 
80000 1307 
81000 1295 
82000 1363 
83000 1107 
84000 1205 
85000 1091 
86000 1283 
87000 1157 
88000 1196 
89000 1118 
90000 1391 
91000 1118 
92000 1143 
93000 1170 
94000 1209 
95000 1265 
96000 1154 
97000 1218 
98000 1253 
99000 1151 
100000 1164 
