# Avida tasks data
# Mon Mar 24 17:21:54 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 9 
3000 424 
4000 341 
5000 647 
6000 904 
7000 1062 
8000 1211 
9000 1317 
10000 1198 
11000 1116 
12000 1235 
13000 1209 
14000 1045 
15000 1149 
16000 1240 
17000 1322 
18000 1375 
19000 1258 
20000 1256 
21000 1262 
22000 1287 
23000 1220 
24000 1301 
25000 1149 
26000 1152 
27000 1420 
28000 1268 
29000 1344 
30000 1339 
31000 1163 
32000 1370 
33000 1271 
34000 1221 
35000 1344 
36000 1206 
37000 1400 
38000 1368 
39000 1431 
40000 1273 
41000 1443 
42000 1223 
43000 1236 
44000 1225 
45000 1152 
46000 979 
47000 1172 
48000 1169 
49000 1143 
50000 1191 
51000 1239 
52000 1182 
53000 1283 
54000 1332 
55000 1112 
56000 1190 
57000 1085 
58000 1161 
59000 1062 
60000 1098 
61000 1021 
62000 1002 
63000 1210 
64000 1038 
65000 977 
66000 997 
67000 1074 
68000 1164 
69000 1080 
70000 914 
71000 1122 
72000 1179 
73000 1213 
74000 1314 
75000 1260 
76000 1247 
77000 1358 
78000 1651 
79000 1616 
80000 1358 
81000 1453 
82000 1417 
83000 1253 
84000 1415 
85000 1369 
86000 1517 
87000 1725 
88000 1643 
89000 1336 
90000 1517 
91000 1398 
92000 1401 
93000 1432 
94000 1501 
95000 1417 
96000 1250 
97000 1325 
98000 1435 
99000 1375 
100000 1565 
