# Avida tasks data
# Mon Mar 24 16:52:26 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 842 
5000 980 
6000 931 
7000 970 
8000 865 
9000 939 
10000 991 
11000 1029 
12000 972 
13000 1314 
14000 968 
15000 1178 
16000 1092 
17000 1010 
18000 1016 
19000 871 
20000 905 
21000 1025 
22000 870 
23000 760 
24000 767 
25000 859 
26000 826 
27000 857 
28000 708 
29000 765 
30000 728 
31000 831 
32000 767 
33000 841 
34000 670 
35000 896 
36000 757 
37000 944 
38000 842 
39000 811 
40000 845 
41000 780 
42000 802 
43000 809 
44000 711 
45000 841 
46000 783 
47000 675 
48000 588 
49000 875 
50000 900 
51000 839 
52000 798 
53000 818 
54000 911 
55000 739 
56000 623 
57000 597 
58000 736 
59000 706 
60000 761 
61000 985 
62000 1215 
63000 1205 
64000 1293 
65000 1286 
66000 1084 
67000 1124 
68000 1239 
69000 1190 
70000 1086 
71000 941 
72000 1147 
73000 1070 
74000 1355 
75000 1149 
76000 1256 
77000 1222 
78000 1198 
79000 1157 
80000 1293 
81000 1076 
82000 1085 
83000 808 
84000 791 
85000 630 
86000 469 
87000 522 
88000 191 
89000 231 
90000 368 
91000 343 
92000 201 
93000 280 
94000 265 
95000 158 
96000 178 
97000 250 
98000 216 
99000 241 
100000 191 
