# Avida tasks data
# Mon Mar 24 15:32:55 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 0 
6000 0 
7000 0 
8000 0 
9000 0 
10000 13 
11000 23 
12000 0 
13000 0 
14000 596 
15000 657 
16000 634 
17000 632 
18000 800 
19000 798 
20000 783 
21000 764 
22000 887 
23000 787 
24000 711 
25000 706 
26000 800 
27000 752 
28000 772 
29000 670 
30000 709 
31000 762 
32000 833 
33000 791 
34000 765 
35000 674 
36000 667 
37000 825 
38000 731 
39000 800 
40000 730 
41000 653 
42000 607 
43000 727 
44000 724 
45000 696 
46000 699 
47000 729 
48000 666 
49000 691 
50000 789 
51000 742 
52000 647 
53000 690 
54000 662 
55000 674 
56000 806 
57000 668 
58000 764 
59000 759 
60000 886 
61000 787 
62000 961 
63000 790 
64000 753 
65000 964 
66000 1002 
67000 1053 
68000 947 
69000 832 
70000 999 
71000 995 
72000 939 
73000 965 
74000 900 
75000 1005 
76000 939 
77000 1062 
78000 872 
79000 763 
80000 857 
81000 888 
82000 705 
83000 780 
84000 680 
85000 629 
86000 527 
87000 578 
88000 505 
89000 490 
90000 512 
91000 515 
92000 540 
93000 518 
94000 513 
95000 531 
96000 546 
97000 536 
98000 555 
99000 485 
100000 562 
