17 17 17 17 17 17 17 21 0 0 0 93 17 17 93 93 93 0 213 149 61 125 125 125 80 93 93 61 61 61 61 29 108 125 0 0 108 125 32 0 108 0 108 108 76 76 76 0 76 76 76 76 76 64 76 76 76 32 0 
17 17 17 17 20 17 93 21 21 93 21 93 0 84 93 93 93 125 113 0 125 125 125 125 125 213 93 125 61 61 61 29 29 100 125 0 108 108 125 125 76 108 125 0 104 0 76 124 76 96 76 76 0 76 0 76 76 76 32 
17 17 17 17 21 0 93 21 0 21 89 0 121 93 93 93 125 125 213 113 125 125 57 61 209 61 16 0 61 61 0 61 0 93 192 0 125 125 104 125 125 125 76 108 104 108 0 0 124 108 124 76 76 76 76 76 76 0 76 
17 20 21 0 21 0 93 21 21 21 21 21 21 93 89 0 93 125 0 113 113 213 213 125 0 61 0 29 29 93 93 113 93 93 0 192 109 125 124 76 76 96 76 108 104 104 125 109 109 124 108 0 4 80 76 109 109 76 76 
20 17 20 0 0 93 17 49 49 49 21 0 93 89 0 45 93 81 125 213 213 213 125 125 125 61 61 29 125 61 93 93 113 125 125 125 125 125 125 125 125 96 108 125 61 125 0 125 44 124 124 0 92 76 76 76 76 109 76 
17 17 0 21 17 17 17 17 0 0 49 0 93 93 93 45 125 125 93 125 0 125 125 125 125 61 61 0 125 125 125 125 125 125 125 125 125 125 125 125 124 124 116 125 108 108 44 44 108 108 0 124 76 76 0 76 76 76 109 
17 0 0 0 17 17 17 17 17 1 93 93 93 93 93 93 93 93 80 0 0 213 84 61 61 61 61 61 61 125 125 125 125 125 125 125 125 93 109 109 124 124 108 109 100 125 108 108 0 0 108 108 109 109 109 109 76 0 76 
17 17 17 0 20 20 17 17 17 93 93 17 93 0 245 93 93 245 93 93 125 125 213 61 0 61 125 61 0 125 125 0 0 0 125 84 125 0 109 125 125 92 0 108 100 44 108 125 125 229 108 0 109 109 109 109 109 76 76 
112 17 17 0 17 17 20 0 93 93 93 93 28 93 245 245 93 245 125 81 125 125 84 245 125 61 125 125 0 125 125 0 125 0 0 125 125 61 125 125 125 125 125 125 44 108 125 125 125 125 121 108 92 109 0 109 109 125 76 
17 17 17 17 17 17 20 17 85 93 93 93 93 93 93 32 245 93 0 125 0 125 0 125 125 125 61 125 125 0 125 125 125 0 125 125 125 0 0 124 124 125 0 108 108 108 0 125 125 109 109 92 109 109 0 77 77 101 76 
0 17 17 17 17 17 17 17 17 17 93 93 93 212 32 245 0 125 32 125 125 125 0 124 32 32 112 0 0 125 125 125 125 125 125 125 125 125 124 109 124 124 125 108 108 108 125 80 125 0 109 109 109 0 109 109 109 0 125 
17 17 17 17 17 17 17 17 17 17 0 93 17 212 181 181 93 93 0 125 125 93 125 181 181 125 125 125 124 0 125 125 125 125 125 93 125 93 125 124 109 124 92 125 125 108 125 125 125 109 109 92 92 109 109 109 109 100 125 
17 17 17 17 17 0 17 245 17 17 17 181 181 181 181 181 93 0 0 125 125 181 125 125 125 125 0 124 117 125 125 125 125 125 125 125 125 125 125 125 117 125 92 0 125 125 125 0 125 0 109 109 109 125 109 109 109 109 80 
17 17 245 17 245 17 0 245 245 17 17 17 181 181 181 181 93 149 149 149 245 245 181 125 0 125 125 112 117 125 125 125 125 0 61 0 125 125 125 125 124 0 112 125 125 125 0 125 125 125 109 109 109 32 0 125 109 109 80 
17 17 245 213 81 81 81 245 245 181 0 181 245 181 0 113 181 245 181 181 181 245 245 92 125 125 125 125 125 125 125 125 125 0 61 125 125 84 125 125 125 124 124 124 124 125 0 125 125 125 0 109 109 109 125 125 125 92 125 
