# Thu Mar 13 17:24:30 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.00728701 2 0 0.0006 
5000 3 0.0758218 3 0 0.0086 
6000 3 0.219411 3 0 0.0342034 
7000 3 0.229245 3 0 0.0336 
8000 3 0.251858 3 0 0.0354035 
9000 4 0.451235 4 0.0001 0.0733 
10000 3 0.41443 3 0 0.0655066 
11000 5 0.504425 5 0.0015 0.0839 
12000 6 0.849764 6 0.0125 0.1516 
13000 6 0.82142 6 0.0404 0.1651 
14000 7 0.89654 7 0.0512154 0.191858 
15000 6 0.808505 6 0.0435044 0.167117 
16000 7 0.859957 7 0.0515 0.1835 
17000 5 0.771831 5 0.0212 0.1438 
18000 5 0.726303 5 0.0222 0.1383 
19000 6 0.696431 6 0.0179 0.1281 
20000 7 0.802615 7 0.0326 0.1634 
21000 5 0.666402 5 0.0343034 0.138014 
22000 11 1.16875 11 0.0747 0.2497 
23000 13 1.3985 13 0.092385 0.3005 
24000 17 1.50839 17 0.105275 0.327633 
25000 14 1.3909 14 0.101567 0.3111 
26000 16 1.49898 16 0.112246 0.341334 
27000 15 1.51078 15 0.105571 0.344834 
28000 14 1.47004 14 0.0865678 0.313331 
29000 13 1.59488 13 0.0925942 0.346635 
30000 14 1.65835 14 0.0819585 0.352 
31000 13 1.63059 13 0.0766077 0.341034 
32000 14 1.6167 14 0.0778585 0.3394 
33000 12 1.56612 12 0.0773 0.3233 
34000 17 1.74041 17 0.0974042 0.3684 
35000 16 1.72494 16 0.0720755 0.338434 
36000 23 1.82221 23 0.0958162 0.3719 
37000 22 1.83369 22 0.121568 0.39794 
38000 26 1.91537 26 0.150359 0.4269 
39000 21 1.81555 21 0.151113 0.4146 
40000 27 1.85964 27 0.169231 0.4405 
41000 23 1.85765 23 0.161912 0.4343 
42000 22 1.85211 22 0.163539 0.429443 
43000 27 1.85437 27 0.164912 0.429343 
44000 24 1.91087 24 0.155956 0.435244 
45000 22 1.77352 22 0.165309 0.4217 
46000 21 1.78189 21 0.152009 0.4096 
47000 22 1.72575 22 0.168884 0.4143 
48000 24 1.74248 24 0.159982 0.4037 
49000 24 1.58305 24 0.150314 0.3617 
50000 25 1.51385 25 0.160321 0.3695 
51000 21 1.49665 21 0.155641 0.3684 
52000 22 1.43519 22 0.159527 0.3623 
53000 23 1.26988 23 0.130782 0.3117 
54000 22 1.25759 22 0.124909 0.2999 
55000 19 1.27163 19 0.1254 0.3016 
56000 18 1.09881 18 0.107158 0.2562 
57000 19 1.13696 19 0.1029 0.2626 
58000 20 1.09271 20 0.0982755 0.2522 
59000 17 1.03656 17 0.122912 0.271227 
60000 16 1.00752 16 0.111051 0.2526 
61000 19 1.006 19 0.103175 0.2386 
62000 36 2.02043 36 0.348043 0.7242 
63000 40 1.90688 40 0.377887 0.748 
64000 46 2.05607 46 0.406811 0.8085 
65000 47 1.98064 47 0.417378 0.8289 
66000 54 2.03817 54 0.398872 0.7874 
67000 49 2.03579 49 0.411007 0.8092 
68000 47 2.04524 47 0.410068 0.8087 
69000 46 1.98965 46 0.396102 0.7818 
70000 44 2.11464 44 0.447278 0.8878 
71000 52 2.0414 52 0.438042 0.8677 
72000 52 2.05865 52 0.390238 0.779578 
73000 60 2.09741 60 0.398663 0.7994 
74000 51 2.16293 51 0.434276 0.858686 
75000 58 2.04133 58 0.388402 0.7718 
76000 50 2.12146 50 0.400162 0.80166 
77000 61 2.21222 61 0.433508 0.8699 
78000 58 2.12678 58 0.403129 0.809 
79000 56 2.13887 56 0.402411 0.8122 
80000 54 2.08209 54 0.398231 0.7988 
81000 50 2.18019 50 0.404906 0.818482 
82000 53 2.15541 53 0.424906 0.855486 
83000 57 2.18346 57 0.432802 0.870187 
84000 59 2.16085 59 0.425273 0.8448 
85000 55 2.14744 55 0.452112 0.89879 
86000 53 2.17061 53 0.437331 0.8835 
87000 56 2.0836 56 0.442191 0.8795 
88000 52 2.08717 52 0.435988 0.8667 
89000 48 2.10222 48 0.43678 0.8745 
90000 58 2.17181 58 0.454774 0.90039 
91000 53 2.22517 53 0.426227 0.8566 
92000 53 2.23513 53 0.457313 0.9176 
93000 51 2.30261 51 0.494933 0.988099 
94000 55 2.12935 55 0.462503 0.93 
95000 48 2.15958 48 0.468341 0.9476 
96000 52 2.18104 52 0.451197 0.922292 
97000 49 2.08267 49 0.439591 0.8852 
98000 59 2.28502 59 0.468534 0.9378 
99000 57 2.25935 57 0.433665 0.872187 
100000 61 2.2796 61 0.441043 0.8888 
