# Avida tasks data
# Mon Mar 24 16:30:24 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 1 
3000 4 
4000 0 
5000 6 
6000 0 
7000 726 
8000 716 
9000 797 
10000 828 
11000 745 
12000 704 
13000 719 
14000 716 
15000 613 
16000 676 
17000 723 
18000 660 
19000 656 
20000 603 
21000 638 
22000 651 
23000 666 
24000 604 
25000 652 
26000 778 
27000 823 
28000 893 
29000 776 
30000 683 
31000 703 
32000 798 
33000 752 
34000 807 
35000 738 
36000 771 
37000 754 
38000 830 
39000 713 
40000 840 
41000 714 
42000 734 
43000 852 
44000 769 
45000 763 
46000 659 
47000 955 
48000 813 
49000 834 
50000 765 
51000 1058 
52000 1038 
53000 999 
54000 900 
55000 856 
56000 909 
57000 779 
58000 809 
59000 769 
60000 771 
61000 675 
62000 683 
63000 575 
64000 647 
65000 602 
66000 588 
67000 640 
68000 599 
69000 575 
70000 598 
71000 610 
72000 698 
73000 713 
74000 751 
75000 608 
76000 616 
77000 605 
78000 606 
79000 701 
80000 671 
81000 619 
82000 661 
83000 693 
84000 764 
85000 609 
86000 631 
87000 657 
88000 710 
89000 664 
90000 605 
91000 596 
92000 587 
93000 599 
94000 584 
95000 535 
96000 578 
97000 556 
98000 561 
99000 548 
100000 562 
