# Sat Mar 29 11:06:12 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.0234561 2 0 0.00229819 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 2 0.423596 2 0 0.0861821 
15000 2 0.629505 2 0 0.158001 
16000 2 0.720086 2 0 0.199081 
17000 2 0.571043 2 0 0.135019 
18000 2 0.62892 2 0 0.157759 
19000 2 0.684718 2 0 0.182132 
20000 2 0.631581 2 0 0.158862 
21000 2 0.577378 2 0 0.137396 
22000 2 0.775685 2 0 0.22867 
23000 2 0.663847 2 0 0.172701 
24000 2 0.634337 2 0 0.160011 
25000 2 0.623928 2 0 0.155702 
26000 2 0.610451 2 0 0.150244 
27000 2 0.672745 2 0 0.176673 
28000 2 0.648017 2 0 0.165805 
29000 2 0.770613 2 0 0.225797 
30000 2 0.638444 2 0 0.161735 
31000 2 0.611885 2 0 0.150819 
32000 2 0.621822 2 0 0.154841 
33000 2 0.611885 2 0 0.150819 
34000 2 0.63089 2 0 0.158575 
35000 2 0.654784 2 0 0.168727 
36000 2 0.640486 2 0 0.162597 
37000 2 0.665679 2 0 0.173513 
38000 2 0.615455 2 0 0.152255 
39000 2 0.648575 2 0 0.166044 
40000 2 0.637762 2 0 0.161448 
41000 2 0.632381 2 0 0.159195 
42000 2 0.623227 2 0 0.155415 
43000 2 0.632381 2 0 0.159195 
44000 2 0.639807 2 0 0.16231 
45000 2 0.641954 2 0 0.163218 
46000 2 0.61403 2 0 0.151681 
47000 2 0.698221 2 0 0.188452 
48000 2 0.570273 2 0 0.134731 
49000 2 0.647906 2 0 0.165757 
50000 2 0.601143 2 0 0.146552 
51000 2 0.662434 2 0 0.172077 
52000 2 0.684718 2 0 0.182132 
53000 2 0.655881 2 0 0.169204 
54000 2 0.681709 2 0 0.180747 
55000 2 0.670828 2 0 0.175812 
56000 2 0.701237 2 0 0.189888 
57000 2 0.651909 2 0 0.167481 
58000 2 0.64252 2 0 0.163459 
59000 2 0.568833 2 0 0.134195 
60000 2 0.560166 2 0 0.130997 
61000 2 0.641843 2 0 0.163172 
62000 2 0.619708 2 0 0.153979 
63000 2 0.586986 2 0 0.141051 
64000 2 0.639126 2 0 0.162022 
65000 2 0.595163 2 0 0.144211 
66000 2 0.391481 2 0 0.0769894 
67000 2 0.0905226 2 0 0.011491 
68000 2 0.245969 2 0 0.0408046 
69000 2 0.216349 2 0 0.0344729 
70000 1 0 1 0 0 
71000 1 0 1 0 0 
72000 1 0 1 0 0 
73000 2 0.180619 2 0 0.027291 
74000 2 0.734278 2 0 0.206263 
75000 2 0.684208 2 0 0.181897 
76000 2 0.622525 2 0 0.155128 
77000 2 0.586986 2 0 0.141051 
78000 2 0.688439 2 0 0.183855 
79000 2 0.569501 2 0 0.134444 
80000 2 0.644546 2 0 0.164321 
81000 2 0.582476 2 0 0.139328 
82000 2 0.630198 2 0 0.158288 
83000 2 0.563294 2 0 0.132146 
84000 2 0.624629 2 0 0.15599 
85000 2 0.64252 2 0 0.163459 
86000 2 0.632961 2 0 0.159437 
87000 2 0.60395 2 0 0.147659 
88000 2 0.58323 2 0 0.139615 
89000 2 0.593685 2 0 0.143637 
90000 2 0.68534 2 0 0.182419 
91000 2 0.67719 2 0 0.178684 
92000 2 0.621119 2 0 0.154553 
93000 2 0.570273 2 0 0.134731 
94000 2 0.64252 2 0 0.163459 
95000 2 0.644546 2 0 0.164321 
96000 2 0.673383 2 0 0.176961 
97000 2 0.60395 2 0 0.147659 
98000 2 0.609732 2 0 0.149957 
99000 2 0.690288 2 0 0.184717 
100000 2 0.639917 2 0 0.162356 
