# Avida resource data
# Fri Jul 11 07:06:07 2014
# First column gives the current update, all further columns give the quantity
# of the particular resource at that update.
#  1: Update
#  2: resANDN0
#  3: resAND0
#  4: resOR0
#  5: resORN0
#  6: resNOR0
#  7: resXOR0
#  8: resAND1
#  9: resANDN1
# 10: resNAND0
# 11: resNAND1
# 12: resNOT0
# 13: resOR1
# 14: resORN1
# 15: resNOT1
# 16: resXOR1
# 17: resNOR1
# 18: resEQU1

0 188400 238400 238400 188400 238400 302800 302800 238400 238400 302800 302800 238400 188400 238400 238400 188400 99.4893 
1000 188400 238400 238400 188400 238400 302800 302800 238400 238400 302800 302800 238400 188400 238400 238400 188400 9949.5 
2000 188400 238400 238400 188400 238400 302800 302800 238400 238400 302800 302800 238400 188400 238400 238400 188400 9949.92 
3000 188400 238400 238400 188400 238400 302800 302800 238400 238388 302786 302753 238400 188396 238352 238400 188400 9949.92 
4000 188400 238400 238400 188286 238400 302800 302800 238400 238235 302604 302795 238400 188263 238396 238400 188400 9949.92 
5000 188400 238400 238234 188246 238400 302800 302800 238400 238362 302761 302647 238238 188275 238256 238400 188400 9949.92 
6000 188400 238400 238222 188248 238400 302800 302800 238400 238244 302602 302579 238223 188266 238224 238400 188400 9949.92 
7000 188400 238400 238236 188261 238400 302800 302800 238394 238242 302612 302584 238235 188275 238224 238400 188400 9949.92 
8000 188286 238400 238228 188264 238361 302800 302800 238248 238392 302790 302582 238219 188305 238222 238400 188360 9949.92 
9000 188278 238395 238221 188262 238366 302800 302796 238249 238389 302786 302582 238219 188310 238228 238400 188361 9949.92 
10000 188252 238398 238203 188230 238383 302800 302798 238216 238236 302605 302579 238206 188275 238217 238400 188381 9937.02 
11000 188250 238399 238216 188248 238386 302800 302799 238219 238233 302605 302587 238220 188280 238226 238400 188384 9949.92 
12000 188247 238393 238200 188233 238386 302800 302793 238226 238231 302598 302553 238206 188271 238203 238400 188384 9949.92 
13000 188249 238386 238210 188239 238388 302800 302786 238227 238234 302601 302565 238215 188269 238204 238400 188390 9949.92 
14000 188244 238395 238210 188243 238388 302800 302795 238223 238226 302597 302571 238223 188268 238214 238400 188386 9949.92 
15000 188260 238396 238216 188242 238385 302800 302795 238230 238233 302603 302582 238224 188262 238221 238400 188384 9949.92 
16000 188250 238393 238209 188239 238378 302800 302792 238229 238218 302584 302577 238228 188260 238222 238400 188383 9949.92 
17000 188256 238392 238224 188242 238382 302800 302792 238231 238221 302598 302580 238235 188263 238223 238400 188382 9949.92 
18000 188294 238394 238240 188263 238351 302800 302794 238286 238283 302659 302594 238248 188272 238227 238400 188346 9949.92 
19000 188262 238398 238219 188237 238234 302800 302798 238227 238396 302796 302594 238218 188254 238220 238400 188251 9949.92 
20000 188264 238398 238232 188227 238239 302800 302798 238232 238391 302791 302587 238225 188251 238222 238400 188250 9949.92 
21000 188251 238400 238213 188226 238219 302800 302800 238214 238235 302615 302572 238211 188233 238201 238400 188238 9949.92 
22000 188255 238400 238224 188235 238228 302800 302800 238226 238236 302613 302586 238225 188251 238217 238400 188252 9949.92 
23000 188242 238400 238219 188232 238216 302800 302799 238217 238222 302601 302580 238217 188241 238209 238400 188243 9949.92 
24000 188249 238398 238214 188230 238218 302800 302798 238219 238231 302602 302581 238217 188244 238211 238400 188239 9949.92 
25000 188244 238380 238204 188216 238214 302800 302777 238233 238220 302597 302576 238209 188248 238213 238400 188246 9949.92 
26000 188251 238375 238216 188239 238227 302800 302767 238239 238223 302599 302585 238217 188243 238214 238400 188247 9949.92 
27000 188257 238374 238207 188211 238225 302800 302766 238252 238235 302610 302567 238209 188232 238202 238400 188247 9949.92 
28000 188264 238380 238239 188238 238245 302800 302774 238259 238242 302622 302594 238242 188255 238220 238400 188265 9949.92 
29000 188248 238376 238213 188234 238222 302800 302770 238243 238224 302607 302580 238218 188246 238208 238400 188249 9949.92 
30000 188252 238380 238216 188237 238226 302800 302773 238241 238225 302602 302582 238214 188246 238209 238400 188249 9949.92 
31000 188261 238390 238220 188230 238230 302800 302786 238232 238230 302607 302582 238216 188246 238212 238400 188255 9949.92 
32000 188268 238376 238232 188243 238236 302800 302766 238255 238236 302614 302603 238227 188254 238228 238400 188251 9941 
33000 188267 238371 238225 188229 238227 302800 302764 238245 238231 302609 302589 238228 188246 238220 238400 188250 9949.92 
34000 188263 238384 238220 188227 238228 302800 302781 238232 238233 302613 302583 238215 188249 238214 238400 188247 9949.92 
35000 188254 238386 238214 188228 238208 302800 302778 238223 238228 302606 302576 238204 188242 238204 238400 188234 9949.92 
36000 188254 238387 238211 188227 238220 302800 302784 238224 238230 302604 302583 238207 188251 238214 238400 188244 9949.92 
37000 188264 238387 238221 188234 238234 302800 302784 238229 238235 302611 302581 238222 188249 238213 238400 188254 9949.92 
38000 188271 238387 238237 188245 238242 302800 302782 238242 238245 302624 302602 238230 188260 238230 238400 188259 9949.43 
39000 188270 238386 238224 188239 238229 302800 302780 238238 238246 302625 302591 238226 188255 238222 238400 188253 9949.92 
40000 188265 238384 238226 188238 238236 302800 302780 238236 238240 302614 302592 238223 188258 238221 238400 188254 9949.92 
41000 188273 238384 238222 188238 238241 302800 302782 238234 238240 302614 302595 238219 188253 238220 238400 188244 9949.92 
42000 188264 238378 238235 188256 238238 302800 302773 238244 238237 302611 302610 238237 188259 238232 238400 188261 9949.92 
43000 188265 238385 238224 188235 238227 302800 302780 238235 238238 302613 302590 238223 188253 238216 238400 188250 9949.92 
44000 188263 238372 238222 188243 238226 302800 302768 238240 238232 302608 302585 238220 188246 238216 238400 188250 9949.92 
45000 188255 238383 238214 188227 238215 302800 302780 238227 238219 302599 302580 238210 188246 238214 238400 188239 9949.92 
46000 188264 238375 238226 188236 238227 302800 302767 238244 238231 302610 302590 238224 188251 238219 238400 188250 9934.11 
47000 188261 238381 238216 188231 238218 302800 302777 238228 238229 302606 302577 238212 188244 238210 238400 188236 9949.92 
48000 188257 238373 238219 188243 238216 302800 302764 238241 238226 302603 302590 238219 188258 238216 238400 188241 9949.92 
49000 188265 238377 238226 188236 238233 302800 302773 238247 238239 302619 302592 238225 188254 238217 238400 188262 9949.92 
50000 188256 238380 238222 188243 238226 302800 302775 238230 238231 302606 302589 238221 188248 238221 238400 188250 9949.92 
51000 188262 238377 238221 188226 238218 302800 302774 238234 238232 302608 302580 238221 188245 238208 238400 188246 9949.92 
52000 188262 238375 238228 188249 238224 302800 302771 238242 238226 302606 302598 238230 188251 238219 238400 188253 9949.92 
53000 188260 238373 238219 188230 238226 302800 302765 238246 238230 302612 302577 238222 188240 238205 238400 188249 9949.92 
54000 188258 238367 238210 188230 238219 302800 302759 238235 238227 302602 302584 238211 188248 238214 238400 188247 9949.92 
55000 188252 238379 238225 188229 238218 302800 302774 238227 238229 302610 302574 238220 188233 238203 238400 188244 9949.92 
56000 188262 238383 238222 188227 238224 302800 302779 238237 238232 302614 302579 238220 188252 238208 238400 188247 9949.92 
57000 188257 238382 238226 188247 238232 302800 302778 238233 238230 302610 302601 238223 188252 238224 238400 188253 9949.92 
58000 188264 238368 238224 188230 238224 302800 302761 238251 238235 302610 302581 238215 188249 238211 238400 188240 9948.28 
59000 188259 238376 238226 188241 238223 302800 302769 238242 238228 302606 302594 238223 188249 238221 238400 188249 9949.92 
60000 188272 238391 238241 188251 238216 302800 302791 238258 238228 302602 302583 238257 188235 238205 238400 188242 187.044 
61000 188288 238394 238223 188250 238224 302800 302794 238290 238232 302603 302580 238215 188248 238217 238400 188239 117.501 
62000 188286 238396 238227 188245 238228 302800 302796 238286 238237 302610 302589 238218 188250 238221 238400 188242 119.196 
63000 188292 238400 238229 188241 238222 302800 302800 238292 238234 302615 302591 238222 188247 238219 238400 188240 115.145 
64000 188286 238400 238225 188255 238223 302800 302800 238286 238230 302609 302595 238217 188254 238221 238400 188247 111.956 
65000 188299 238400 238226 188240 238235 302800 302800 238296 238231 302607 302584 238216 188244 238216 238400 188238 103.925 
66000 188286 238400 238232 188252 238230 302800 302800 238286 238240 302611 302595 238223 188252 238216 238400 188249 116.519 
67000 188295 238400 238223 188249 238220 302800 302800 238294 238234 302610 302582 238215 188235 238209 238400 188236 106.253 
68000 188296 238400 238226 188234 238231 302800 302800 238295 238231 302606 302587 238218 188246 238215 238400 188239 110.724 
69000 188299 238400 238238 188250 238233 302800 302800 238298 238233 302608 302597 238234 188254 238225 238400 188251 114.604 
70000 188293 238400 238235 188247 238237 302800 302800 238293 238228 302604 302596 238226 188257 238225 238400 188243 106.112 
71000 188288 238400 238231 188244 238229 302800 302800 238288 238235 302606 302593 238219 188248 238217 238400 188238 112.837 
72000 188292 238400 238230 188245 238222 302800 302799 238287 238234 302615 302574 238218 188239 238204 238400 188240 113.787 
