# Wed Feb 26 12:35:19 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.622525 2 0 0.155128 
4000 4 1.62159 4 0 0.662931 
5000 7 2.11571 7 0.465096 1.38897 
6000 9 2.22779 9 0.352586 1.30489 
7000 10 2.40132 10 0.350474 1.29618 
8000 17 2.72651 17 0.607516 1.58862 
9000 29 3.59868 29 1.23748 2.58879 
10000 31 3.1777 31 1.63403 3.29302 
11000 32 3.43974 32 1.64306 3.289 
12000 43 3.85815 43 1.78548 3.67787 
13000 50 3.59159 50 2.03183 4.26228 
14000 55 3.89411 55 2.14801 4.60873 
15000 55 3.82311 55 2.18216 4.72184 
16000 51 3.7777 51 2.17638 4.67825 
17000 49 3.65114 49 2.23305 4.84918 
18000 55 3.61618 55 2.22218 4.80236 
19000 51 3.53902 51 2.1974 4.72709 
20000 54 3.53109 54 2.20627 4.74454 
21000 64 3.6236 64 2.18534 4.69118 
22000 49 3.56225 49 2.17612 4.64885 
23000 50 3.34535 50 2.20386 4.7403 
24000 53 3.47939 53 2.16094 4.61994 
25000 62 3.79466 62 2.16114 4.60758 
26000 56 3.37309 56 2.08585 4.37288 
27000 60 3.59601 60 2.04243 4.25596 
28000 60 3.7795 60 2.07832 4.35823 
29000 56 3.78195 56 2.07287 4.34444 
30000 63 3.75404 63 2.11859 4.47687 
31000 64 3.68853 64 2.11786 4.47586 
32000 64 3.57801 64 2.18883 4.68256 
33000 68 3.5861 68 2.20167 4.71178 
34000 69 3.61439 69 2.18516 4.66762 
35000 64 3.5566 64 2.20091 4.7133 
36000 69 3.67314 69 2.20052 4.69664 
37000 69 3.65831 69 2.19332 4.68544 
38000 64 3.44633 64 2.22059 4.7477 
39000 63 3.48447 63 2.21649 4.74835 
40000 58 3.44064 58 2.21926 4.76415 
41000 64 3.44817 64 2.19934 4.70899 
42000 65 3.57436 65 2.21534 4.74002 
43000 63 3.47158 63 2.20728 4.71732 
44000 66 3.45166 66 2.2145 4.73714 
45000 65 3.5197 65 2.18082 4.65144 
46000 61 3.2955 61 2.20551 4.72795 
47000 60 3.4196 60 2.2008 4.70497 
48000 63 3.48892 63 2.20574 4.71839 
49000 57 3.35898 57 2.22942 4.77736 
50000 59 3.39531 59 2.21373 4.73686 
51000 61 3.65082 61 2.22836 4.7969 
52000 61 3.59966 61 2.24876 4.85895 
53000 63 3.68367 63 2.23846 4.85033 
54000 62 3.51629 62 2.26374 4.90692 
55000 65 3.62521 65 2.22108 4.78075 
56000 62 3.70584 62 2.21768 4.75029 
57000 70 3.58938 70 2.22251 4.77708 
58000 64 3.56292 64 2.23264 4.82017 
59000 66 3.54804 66 2.22404 4.81212 
60000 57 3.59102 57 2.21968 4.75812 
61000 68 3.75406 68 2.18749 4.67251 
62000 60 3.46417 60 2.21323 4.73851 
63000 63 3.50737 63 2.22484 4.76961 
64000 63 3.43663 63 2.26767 4.88279 
65000 66 3.58733 66 2.23002 4.78742 
66000 63 3.43996 63 2.2239 4.75553 
67000 52 3.28988 52 2.23602 4.79288 
68000 58 3.42377 58 2.23625 4.79489 
69000 68 3.50894 68 2.2264 4.75812 
70000 64 3.52376 64 2.22718 4.77047 
71000 61 3.69237 61 2.25857 4.87963 
72000 62 3.61716 62 2.27479 4.93908 
73000 73 4.14103 73 2.27209 4.96467 
74000 88 3.68467 88 2.36622 5.28095 
75000 71 3.5189 71 2.41727 5.42775 
76000 76 3.54213 76 2.39682 5.36225 
77000 78 3.44491 78 2.4211 5.44872 
78000 76 3.45182 76 2.40322 5.3861 
79000 77 3.66963 77 2.36159 5.26351 
80000 86 3.67041 86 2.40804 5.41138 
81000 82 3.71971 82 2.37988 5.32088 
82000 80 3.74429 80 2.38724 5.34329 
83000 90 3.96785 90 2.37486 5.28469 
84000 72 3.79197 72 2.4219 5.44626 
85000 86 3.82507 86 2.402 5.38265 
86000 80 3.71381 80 2.43218 5.49153 
87000 77 3.63573 77 2.43201 5.49828 
88000 82 3.72592 82 2.42657 5.47443 
89000 83 3.80556 83 2.43764 5.49239 
90000 82 3.94006 82 2.4211 5.45332 
91000 83 3.92308 83 2.42431 5.44483 
92000 84 3.91105 84 2.42432 5.45332 
93000 92 3.99123 92 2.39197 5.33755 
94000 95 4.0935 95 2.37755 5.29905 
95000 91 4.04779 91 2.36797 5.27234 
96000 96 4.23725 96 2.40379 5.38391 
97000 90 4.12908 90 2.40385 5.38276 
98000 92 4.21778 92 2.38818 5.33247 
99000 92 4.11854 92 2.38038 5.30422 
100000 99 4.2154 99 2.37917 5.30796 
