# Avida tasks data
# Mon Mar 24 16:59:20 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 172 
4000 95 
5000 475 
6000 1039 
7000 1136 
8000 1073 
9000 1189 
10000 1302 
11000 1057 
12000 1210 
13000 1124 
14000 1328 
15000 1099 
16000 1171 
17000 1295 
18000 1029 
19000 1296 
20000 1270 
21000 1247 
22000 1519 
23000 1236 
24000 1278 
25000 1371 
26000 1358 
27000 1398 
28000 1394 
29000 1253 
30000 1422 
31000 1273 
32000 1417 
33000 1331 
34000 1394 
35000 1307 
36000 1440 
37000 1365 
38000 1221 
39000 1354 
40000 1269 
41000 1111 
42000 1148 
43000 1124 
44000 912 
45000 1062 
46000 1211 
47000 1139 
48000 1099 
49000 1127 
50000 966 
51000 933 
52000 997 
53000 921 
54000 998 
55000 981 
56000 739 
57000 934 
58000 763 
59000 1093 
60000 1162 
61000 1216 
62000 1179 
63000 1152 
64000 1299 
65000 1267 
66000 1375 
67000 1342 
68000 1429 
69000 1126 
70000 1200 
71000 1139 
72000 1220 
73000 1251 
74000 1075 
75000 1283 
76000 1204 
77000 1285 
78000 1202 
79000 1236 
80000 1108 
81000 1107 
82000 1260 
83000 1198 
84000 1136 
85000 1292 
86000 1335 
87000 1267 
88000 1364 
89000 1206 
90000 1444 
91000 1263 
92000 1333 
93000 1284 
94000 1306 
95000 1095 
96000 1229 
97000 1329 
98000 1155 
99000 1301 
100000 1364 
