# Sat Feb 22 19:04:39 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.00701383 2 0 0.000574548 
4000 2 0.30791 2 0 0.0551566 
5000 3 0.869204 3 0.000287274 0.288136 
6000 4 1.63805 4 0.038782 0.553289 
7000 22 3.32391 22 0.949407 1.98477 
8000 25 3.67125 25 1.03914 2.1626 
9000 18 3.33938 18 1.05226 2.19334 
10000 22 3.38665 22 1.07068 2.22787 
11000 27 3.71202 27 1.21916 2.49612 
12000 30 3.90847 30 1.21987 2.51709 
13000 40 4.00359 40 1.40056 2.82936 
14000 47 4.31318 47 1.47006 2.97672 
15000 50 4.3915 50 1.52801 3.08621 
16000 53 4.26999 53 1.45569 2.99109 
17000 50 3.90021 50 1.51439 3.10112 
18000 52 4.23151 52 1.46329 3.01005 
19000 49 4.11924 49 1.49718 3.04941 
20000 57 4.40952 57 1.50604 3.02241 
21000 48 4.23543 48 1.40661 2.84401 
22000 49 4.03271 49 1.45082 2.93621 
23000 51 4.08497 51 1.4591 2.96007 
24000 58 4.32462 58 1.55903 3.15771 
25000 57 4.31591 57 1.56867 3.16116 
26000 59 4.34661 59 1.62448 3.29905 
27000 56 4.40748 56 1.49007 3.04309 
28000 56 4.46047 56 1.51195 3.05057 
29000 52 4.35416 52 1.4921 3.01523 
30000 58 4.47571 58 1.5056 3.02471 
31000 54 4.28608 54 1.46416 2.97386 
32000 51 4.33896 51 1.42993 2.9296 
33000 56 4.16458 56 1.46547 2.97415 
34000 52 4.18975 52 1.44104 2.91238 
35000 52 4.15856 52 1.46977 3.05947 
36000 60 4.53364 60 1.476 3.11232 
37000 53 4.64128 53 1.54046 3.19598 
38000 62 4.31981 62 1.59182 3.30489 
39000 66 4.49092 66 1.58993 3.30221 
40000 66 4.44159 66 1.57413 3.36656 
41000 60 4.48544 60 1.64719 3.50359 
42000 64 4.59355 64 1.47971 3.14191 
43000 61 4.4562 61 1.48505 3.12985 
44000 63 4.4632 63 1.57122 3.30767 
45000 69 4.60261 69 1.63895 3.43633 
46000 67 4.40976 67 1.50595 3.14479 
47000 69 4.62089 69 1.52736 3.20799 
48000 68 4.6089 68 1.60351 3.39885 
49000 65 4.57017 65 1.5825 3.36685 
50000 64 4.65493 64 1.55391 3.2821 
51000 71 4.88423 71 1.61209 3.37978 
52000 72 4.94041 72 1.60606 3.38868 
53000 65 4.76249 65 1.53988 3.23154 
54000 75 4.89291 75 1.59348 3.34961 
55000 65 4.74651 65 1.61115 3.3588 
56000 73 4.9264 73 1.57678 3.2821 
57000 66 4.67959 66 1.5937 3.27693 
58000 65 4.61486 65 1.516 3.11606 
59000 66 4.71877 66 1.50109 3.08446 
60000 71 4.52121 71 1.58791 3.29885 
61000 71 4.58686 71 1.54033 3.21517 
62000 66 4.76933 66 1.48859 3.13103 
63000 62 4.54414 62 1.49163 3.11778 
64000 64 4.46207 64 1.54394 3.26487 
65000 70 4.6287 70 1.53402 3.25309 
66000 74 4.75961 74 1.56364 3.28641 
67000 64 4.60631 64 1.59346 3.33697 
68000 64 4.63103 64 1.66886 3.52025 
69000 71 4.72261 71 1.59642 3.35833 
70000 67 4.5724 67 1.57667 3.32893 
71000 62 4.55239 62 1.54591 3.24447 
72000 69 4.6175 69 1.52405 3.21 
73000 63 4.58111 63 1.475 3.05228 
74000 66 4.45414 66 1.5163 3.16719 
75000 64 4.11227 64 1.57799 3.29991 
76000 62 4.37535 62 1.51631 3.1534 
77000 72 4.26365 72 1.59887 3.33352 
78000 67 4.25491 67 1.53392 3.20799 
79000 68 4.23147 68 1.61479 3.33324 
80000 67 4.05848 67 1.62426 3.37834 
81000 74 4.27814 74 1.66019 3.45849 
82000 60 4.11092 60 1.67123 3.46423 
83000 69 4.30999 69 1.62276 3.38121 
84000 71 4.20527 71 1.67637 3.49239 
85000 63 4.29818 63 1.61715 3.35708 
86000 68 4.06085 68 1.70704 3.5191 
87000 69 3.95967 69 1.71329 3.51479 
88000 71 4.29061 71 1.6107 3.33984 
89000 67 4.35357 67 1.62684 3.37374 
90000 66 4.12283 66 1.66781 3.42028 
91000 61 4.22305 61 1.53427 3.22178 
92000 66 4.17247 66 1.57886 3.25136 
93000 63 4.33607 63 1.57647 3.26745 
94000 63 4.33191 63 1.58347 3.25632 
95000 63 3.81839 63 1.69822 3.46883 
96000 58 4.02349 58 1.58715 3.23614 
97000 62 3.99592 62 1.67174 3.39299 
98000 59 4.16359 59 1.5391 3.19391 
99000 59 4.00021 59 1.59487 3.30078 
100000 61 4.17139 61 1.56171 3.22781 
