# Avida tasks data
# Sat Mar 29 10:51:42 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 0 
3000 496 
4000 806 
5000 1302 
6000 1254 
7000 1214 
8000 1304 
9000 1222 
10000 1301 
11000 1427 
12000 1422 
13000 1498 
14000 1201 
15000 1404 
16000 1242 
17000 1284 
18000 1300 
19000 1105 
20000 1303 
21000 1238 
22000 1286 
23000 1493 
24000 1357 
25000 1314 
26000 1267 
27000 1425 
28000 1282 
29000 1223 
30000 1128 
31000 1044 
32000 1205 
33000 1036 
34000 1208 
35000 1277 
36000 1108 
37000 1349 
38000 1232 
39000 977 
40000 1044 
41000 1083 
42000 1136 
43000 1323 
44000 1298 
45000 1365 
46000 1374 
47000 1396 
48000 1440 
49000 1509 
50000 1427 
51000 1592 
52000 1391 
53000 1481 
54000 1338 
55000 1617 
56000 1338 
57000 1396 
58000 1320 
59000 1394 
60000 1272 
61000 1574 
62000 1494 
63000 1375 
64000 1443 
65000 1296 
66000 1359 
67000 1395 
68000 1364 
69000 1416 
70000 1306 
71000 1515 
72000 1364 
73000 1250 
74000 1379 
75000 1341 
76000 1297 
77000 1273 
78000 1254 
79000 1361 
80000 1217 
81000 1198 
82000 1405 
83000 1395 
84000 1413 
85000 1231 
86000 1233 
87000 1287 
88000 1264 
89000 1433 
90000 1332 
91000 1489 
92000 1576 
93000 1227 
94000 1452 
95000 1359 
96000 1214 
97000 1405 
98000 1417 
99000 1431 
100000 1329 
