# Avida tasks data
# Mon Mar 24 16:33:52 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 29 
5000 421 
6000 595 
7000 601 
8000 722 
9000 841 
10000 921 
11000 970 
12000 923 
13000 1111 
14000 1030 
15000 946 
16000 1022 
17000 872 
18000 890 
19000 863 
20000 767 
21000 900 
22000 801 
23000 904 
24000 829 
25000 831 
26000 851 
27000 807 
28000 934 
29000 870 
30000 982 
31000 988 
32000 1121 
33000 1063 
34000 1269 
35000 1134 
36000 1100 
37000 1106 
38000 1013 
39000 1230 
40000 1165 
41000 1147 
42000 1051 
43000 1347 
44000 1314 
45000 1132 
46000 1267 
47000 1151 
48000 1082 
49000 1181 
50000 1195 
51000 1147 
52000 1122 
53000 1187 
54000 1078 
55000 989 
56000 1226 
57000 1222 
58000 1082 
59000 1038 
60000 961 
61000 891 
62000 959 
63000 961 
64000 1028 
65000 874 
66000 880 
67000 810 
68000 815 
69000 841 
70000 799 
71000 875 
72000 796 
73000 848 
74000 729 
75000 947 
76000 739 
77000 807 
78000 700 
79000 777 
80000 842 
81000 813 
82000 794 
83000 774 
84000 1257 
85000 1159 
86000 1218 
87000 1315 
88000 1155 
89000 1449 
90000 1193 
91000 1309 
92000 1385 
93000 1228 
94000 1343 
95000 1163 
96000 1013 
97000 1272 
98000 1052 
99000 1109 
100000 1207 
