# Avida tasks data
# Thu Mar 27 12:26:00 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 0 
3000 0 
4000 724 
5000 1213 
6000 956 
7000 1029 
8000 1314 
9000 1053 
10000 1123 
11000 1121 
12000 1218 
13000 1153 
14000 1017 
15000 1063 
16000 1079 
17000 1040 
18000 1060 
19000 1205 
20000 1248 
21000 1309 
22000 1323 
23000 1143 
24000 1227 
25000 1328 
26000 1052 
27000 1065 
28000 993 
29000 1157 
30000 1224 
31000 1265 
32000 1278 
33000 1107 
34000 1069 
35000 1020 
36000 1215 
37000 1427 
38000 1130 
39000 1147 
40000 1156 
41000 1232 
42000 1117 
43000 1204 
44000 1208 
45000 1174 
46000 1098 
47000 940 
48000 1130 
49000 1063 
50000 1032 
51000 1124 
52000 1233 
53000 1158 
54000 1233 
55000 1117 
56000 1215 
57000 1180 
58000 1261 
59000 1167 
60000 1177 
61000 1419 
62000 1102 
63000 1072 
64000 1121 
65000 1342 
66000 1239 
67000 1190 
68000 1330 
69000 1422 
70000 1406 
71000 1293 
72000 1111 
73000 1188 
74000 1341 
75000 1178 
76000 1163 
77000 1167 
78000 1058 
79000 1254 
80000 1096 
81000 1153 
82000 1066 
83000 1067 
84000 960 
85000 1091 
86000 1094 
87000 1190 
88000 1076 
89000 1208 
90000 1439 
91000 1283 
92000 1093 
93000 1330 
94000 1202 
95000 1196 
96000 1463 
97000 1449 
98000 1276 
99000 1478 
100000 1456 
