# Avida tasks data
# Sun Apr 13 17:35:21 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 12 
4000 0 
5000 0 
6000 0 
7000 0 
8000 0 
9000 0 
10000 604 
11000 629 
12000 657 
13000 517 
14000 643 
15000 669 
16000 514 
17000 584 
18000 580 
19000 430 
20000 511 
21000 427 
22000 407 
23000 295 
24000 325 
25000 331 
26000 227 
27000 115 
28000 0 
29000 0 
30000 0 
31000 0 
32000 0 
33000 0 
34000 0 
35000 0 
36000 0 
37000 0 
38000 0 
39000 0 
40000 0 
41000 1 
42000 0 
43000 0 
44000 0 
45000 0 
46000 515 
47000 550 
48000 558 
49000 420 
50000 520 
51000 465 
52000 596 
53000 617 
54000 396 
55000 451 
56000 498 
57000 434 
58000 500 
59000 651 
60000 440 
61000 437 
62000 442 
63000 480 
64000 566 
65000 488 
66000 498 
67000 510 
68000 533 
69000 594 
70000 529 
71000 444 
72000 539 
73000 667 
74000 590 
75000 600 
76000 655 
77000 436 
78000 564 
79000 553 
80000 504 
81000 633 
82000 532 
83000 526 
84000 526 
85000 466 
86000 352 
87000 273 
88000 181 
89000 0 
90000 0 
91000 0 
92000 0 
93000 0 
94000 0 
95000 0 
96000 0 
97000 0 
98000 0 
99000 0 
100000 0 
