# Avida tasks data
# Mon Mar 24 17:20:47 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 119 
5000 481 
6000 1078 
7000 1011 
8000 1436 
9000 1302 
10000 1221 
11000 1470 
12000 1393 
13000 1346 
14000 1148 
15000 1211 
16000 1223 
17000 1145 
18000 1266 
19000 1249 
20000 1514 
21000 1432 
22000 1528 
23000 1279 
24000 1360 
25000 1269 
26000 1190 
27000 1154 
28000 1323 
29000 1260 
30000 1362 
31000 1337 
32000 1338 
33000 1325 
34000 1256 
35000 1349 
36000 1432 
37000 1120 
38000 1269 
39000 1078 
40000 1186 
41000 1393 
42000 1293 
43000 1289 
44000 1202 
45000 1288 
46000 1381 
47000 1214 
48000 1414 
49000 1378 
50000 1467 
51000 1283 
52000 1417 
53000 1323 
54000 1340 
55000 1263 
56000 1358 
57000 1453 
58000 1355 
59000 1570 
60000 1334 
61000 1279 
62000 1365 
63000 1354 
64000 1246 
65000 1480 
66000 1437 
67000 1361 
68000 1438 
69000 1471 
70000 1667 
71000 1540 
72000 1253 
73000 1130 
74000 1245 
75000 1374 
76000 1583 
77000 1404 
78000 1223 
79000 1381 
80000 1284 
81000 1509 
82000 1417 
83000 1274 
84000 1388 
85000 1396 
86000 1236 
87000 1362 
88000 1395 
89000 1193 
90000 1173 
91000 1299 
92000 1233 
93000 1362 
94000 1270 
95000 1159 
96000 1253 
97000 1189 
98000 1275 
99000 1211 
100000 1137 
