# Sun Mar 30 13:37:54 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 2 0.127301 2 0 0.0175237 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 1 0 1 0 0 
21000 1 0 1 0 0 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 1 0 1 0 0 
25000 1 0 1 0 0 
26000 1 0 1 0 0 
27000 1 0 1 0 0 
28000 1 0 1 0 0 
29000 1 0 1 0 0 
30000 1 0 1 0 0 
31000 1 0 1 0 0 
32000 1 0 1 0 0 
33000 1 0 1 0 0 
34000 1 0 1 0 0 
35000 1 0 1 0 0 
36000 1 0 1 0 0 
37000 1 0 1 0 0 
38000 1 0 1 0 0 
39000 1 0 1 0 0 
40000 1 0 1 0 0 
41000 2 0.754451 2 0 0.216892 
42000 2 0.785138 2 0 0.234128 
43000 2 0.68782 2 0 0.183568 
44000 2 0.740928 2 0 0.20971 
45000 2 0.853612 2 0 0.278656 
46000 2 0.754451 2 0 0.216892 
47000 2 0.75616 2 0 0.217816 
48000 2 0.739275 2 0 0.208848 
49000 2 0.759212 2 0 0.219477 
50000 2 0.689056 2 0 0.184142 
51000 2 0.710169 2 0 0.194197 
52000 2 0.758686 2 0 0.21919 
53000 2 0.674019 2 0 0.177248 
54000 2 0.669546 2 0 0.175237 
55000 2 0.689056 2 0 0.184142 
56000 2 0.728656 2 0 0.20339 
57000 2 0.684718 2 0 0.182132 
58000 2 0.731476 2 0 0.204826 
59000 2 0.710759 2 0 0.194484 
60000 2 0.749095 2 0 0.214019 
61000 2 0.781684 2 0 0.232117 
62000 2 0.804725 2 0 0.245906 
63000 2 0.779196 2 0 0.230681 
64000 2 0.743668 2 0 0.211146 
65000 2 0.770613 2 0 0.225797 
66000 2 0.760262 2 0 0.220052 
67000 2 0.796737 2 0 0.241023 
68000 4 1.33172 4 0.20971 0.581729 
69000 4 1.51245 4 0.147659 0.51738 
70000 4 1.39884 4 0.162597 0.506751 
71000 4 1.28198 4 0.195346 0.512496 
72000 4 1.47779 4 0.148521 0.512496 
73000 4 1.39243 4 0.159437 0.494973 
74000 4 1.43135 4 0.160873 0.497558 
75000 4 1.28539 4 0.211433 0.525424 
76000 4 1.47451 4 0.14651 0.494398 
77000 4 1.40426 4 0.131284 0.45102 
78000 4 1.36411 4 0.200804 0.538926 
79000 4 1.50714 4 0.139041 0.49842 
80000 4 1.40394 4 0.128699 0.451882 
81000 4 1.3593 4 0.173276 0.49023 
82000 4 1.31425 4 0.222063 0.567078 
83000 4 1.34768 4 0.197644 0.532893 
84000 4 1.31714 4 0.230681 0.571388 
85000 4 1.3303 4 0.22235 0.567078 
86000 4 1.33471 4 0.210572 0.546107 
87000 4 1.35797 4 0.205401 0.544671 
88000 4 1.18456 4 0.239299 0.549555 
89000 4 1.21217 4 0.237001 0.561333 
90000 4 1.20532 4 0.232979 0.542086 
91000 4 1.22346 4 0.209135 0.515369 
92000 4 1.37469 4 0.194772 0.531169 
93000 4 1.35736 4 0.195059 0.522551 
94000 4 1.3975 4 0.202241 0.555875 
95000 4 1.52648 4 0.200804 0.598104 
96000 4 1.39888 4 0.197932 0.546682 
97000 4 1.50351 4 0.166044 0.532031 
98000 4 1.45786 4 0.233266 0.614766 
99000 4 1.55154 4 0.207124 0.608446 
100000 4 1.41049 4 0.18759 0.533467 
