# Avida tasks data
# Sat Mar 29 10:53:40 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 12 
3000 0 
4000 0 
5000 4 
6000 0 
7000 0 
8000 0 
9000 0 
10000 0 
11000 0 
12000 0 
13000 0 
14000 0 
15000 0 
16000 0 
17000 0 
18000 0 
19000 25 
20000 482 
21000 1054 
22000 1074 
23000 1150 
24000 943 
25000 912 
26000 882 
27000 1116 
28000 946 
29000 962 
30000 879 
31000 942 
32000 957 
33000 940 
34000 872 
35000 872 
36000 760 
37000 781 
38000 696 
39000 607 
40000 640 
41000 498 
42000 843 
43000 989 
44000 1147 
45000 1222 
46000 1230 
47000 1084 
48000 1120 
49000 1183 
50000 1166 
51000 1115 
52000 990 
53000 927 
54000 1027 
55000 963 
56000 1091 
57000 922 
58000 1057 
59000 1009 
60000 1123 
61000 1132 
62000 1146 
63000 1346 
64000 1150 
65000 1350 
66000 1325 
67000 1329 
68000 1147 
69000 1160 
70000 1217 
71000 1199 
72000 1322 
73000 1216 
74000 1206 
75000 1288 
76000 1037 
77000 955 
78000 1065 
79000 1168 
80000 1250 
81000 1381 
82000 1589 
83000 1551 
84000 1570 
85000 1476 
86000 1369 
87000 1494 
88000 1223 
89000 1176 
90000 1338 
91000 1495 
92000 1455 
93000 1583 
94000 1471 
95000 1414 
96000 1396 
97000 1675 
98000 1610 
99000 1552 
100000 1544 
