# Wed Mar 12 17:20:14 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.0128813 2 0 0.00114943 
4000 1 0 1 0 0 
5000 2 0.040066 2 0 0.00430911 
6000 2 0.417697 2 0 0.0844585 
7000 3 0.578948 3 0 0.123528 
8000 6 0.744781 6 0.0667451 0.191324 
9000 8 0.716363 8 0.141646 0.286699 
10000 8 0.653854 8 0.158716 0.310256 
11000 8 0.74806 8 0.163621 0.325768 
12000 8 0.881798 8 0.197406 0.396725 
13000 8 0.928357 8 0.200684 0.414655 
14000 8 1.10124 8 0.173573 0.405631 
15000 8 0.77577 8 0.131044 0.286699 
16000 8 1.12341 8 0.196332 0.423154 
17000 8 0.675389 8 0.158271 0.316288 
18000 8 0.687259 8 0.147121 0.296467 
19000 8 0.79808 8 0.200522 0.395977 
20000 8 0.848463 8 0.169914 0.358436 
21000 8 0.914237 8 0.165588 0.357081 
22000 8 0.77314 8 0.184403 0.365987 
23000 8 0.853567 8 0.15968 0.328067 
24000 8 0.871735 8 0.173112 0.356794 
25000 7 0.641926 7 0.147018 0.286125 
26000 7 0.643504 7 0.139787 0.278656 
27000 6 0.776737 6 0.211316 0.40994 
28000 8 0.661444 8 0.156781 0.308819 
29000 8 0.619437 8 0.137675 0.273563 
30000 6 0.659058 6 0.154666 0.303074 
31000 5 0.501017 5 0.138796 0.267739 
32000 6 0.574655 6 0.140948 0.277794 
33000 7 0.773085 7 0.164087 0.338121 
34000 6 0.551721 6 0.138742 0.269176 
35000 7 0.606055 7 0.151057 0.294743 
36000 8 0.669056 8 0.116089 0.249066 
37000 7 0.731837 7 0.129901 0.287274 
38000 7 0.769688 7 0.171546 0.352198 
39000 7 0.661187 7 0.14362 0.286699 
40000 7 0.602898 7 0.145537 0.28592 
41000 7 0.493028 7 0.121412 0.232404 
42000 6 0.505932 6 0.128275 0.250503 
43000 5 0.452712 5 0.12064 0.231034 
44000 6 0.486185 6 0.121684 0.236426 
45000 7 0.599308 7 0.124914 0.255099 
46000 7 0.505654 7 0.124123 0.239012 
47000 7 0.495893 7 0.139063 0.28239 
48000 5 0.381297 5 0.126433 0.251939 
49000 8 0.45652 8 0.130428 0.267739 
50000 10 0.531528 10 0.130248 0.279023 
51000 7 0.505271 7 0.13136 0.278656 
52000 7 0.401851 7 0.126014 0.251149 
53000 6 0.410455 6 0.135378 0.269828 
54000 7 0.387241 7 0.128335 0.256609 
55000 8 0.377149 8 0.126238 0.251939 
56000 6 0.388303 6 0.136293 0.272336 
57000 7 0.389551 7 0.131398 0.263793 
58000 8 0.40346 8 0.128167 0.257759 
59000 7 0.372881 7 0.127002 0.254237 
60000 5 0.382348 5 0.130357 0.259983 
61000 8 0.39077 8 0.130547 0.261419 
62000 6 0.386612 6 0.136125 0.271761 
63000 8 0.391042 8 0.12872 0.256897 
64000 6 0.390786 6 0.131555 0.262568 
65000 9 0.420291 9 0.132325 0.265306 
66000 7 0.415668 7 0.137897 0.277219 
67000 4 0.412819 4 0.141312 0.281403 
68000 5 0.404887 5 0.142751 0.285057 
69000 5 0.38913 5 0.141079 0.281816 
70000 6 0.404418 6 0.138967 0.278161 
71000 7 0.451094 7 0.14723 0.297126 
72000 7 0.398015 7 0.138661 0.277794 
73000 6 0.397054 6 0.137243 0.273851 
74000 6 0.390983 6 0.13669 0.272989 
75000 9 0.408168 9 0.134807 0.271186 
76000 9 0.464642 9 0.184072 0.395289 
77000 8 0.486871 8 0.188015 0.407067 
78000 7 0.449366 7 0.178529 0.381787 
79000 9 0.45054 9 0.176345 0.379201 
80000 8 0.463939 8 0.176876 0.380925 
81000 11 0.470753 11 0.172538 0.368572 
82000 7 0.440694 7 0.177336 0.379489 
83000 9 0.461986 9 0.173239 0.370583 
84000 12 0.480532 12 0.17823 0.381034 
85000 12 0.46662 12 0.172297 0.369434 
86000 11 0.504227 11 0.174326 0.377874 
87000 9 0.450241 9 0.177883 0.380638 
88000 10 0.438597 10 0.175661 0.376041 
89000 8 0.4417 8 0.163582 0.348563 
90000 9 0.464071 9 0.172848 0.369253 
91000 10 0.450716 10 0.171228 0.365987 
92000 12 0.486645 12 0.179208 0.382649 
93000 15 0.481885 15 0.202095 0.465805 
94000 15 0.471809 15 0.197561 0.453579 
95000 13 0.481121 13 0.196481 0.450158 
96000 15 0.485026 15 0.201364 0.462356 
97000 17 0.566139 17 0.195157 0.458333 
98000 12 0.533323 12 0.226868 0.561333 
99000 11 0.490258 11 0.224905 0.559069 
100000 26 1.07078 26 0.419588 1.03045 
