# Avida tasks data
# Thu Mar 27 12:24:51 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 0 
6000 0 
7000 0 
8000 3 
9000 0 
10000 0 
11000 0 
12000 0 
13000 0 
14000 0 
15000 897 
16000 1144 
17000 1363 
18000 1185 
19000 1092 
20000 1056 
21000 1056 
22000 1179 
23000 1091 
24000 1094 
25000 1235 
26000 1214 
27000 1202 
28000 1034 
29000 1288 
30000 1257 
31000 1281 
32000 1289 
33000 1317 
34000 1234 
35000 1099 
36000 1271 
37000 1222 
38000 1120 
39000 1059 
40000 1143 
41000 1123 
42000 1120 
43000 1035 
44000 1022 
45000 1081 
46000 1186 
47000 962 
48000 1018 
49000 1108 
50000 1016 
51000 870 
52000 1063 
53000 1048 
54000 1112 
55000 857 
56000 917 
57000 944 
58000 956 
59000 1082 
60000 1126 
61000 910 
62000 1048 
63000 968 
64000 1076 
65000 1030 
66000 1154 
67000 940 
68000 1123 
69000 1067 
70000 929 
71000 1068 
72000 985 
73000 815 
74000 769 
75000 875 
76000 765 
77000 711 
78000 581 
79000 512 
80000 415 
81000 295 
82000 357 
83000 268 
84000 273 
85000 228 
86000 286 
87000 223 
88000 327 
89000 335 
90000 231 
91000 316 
92000 205 
93000 316 
94000 120 
95000 179 
96000 256 
97000 215 
98000 279 
99000 201 
100000 178 
