# Sat Mar 29 12:26:03 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.193772 2 0 0.0298765 
5000 2 0.6703 2 0 0.175575 
6000 2 0.650578 2 0 0.166906 
7000 2 0.710169 2 0 0.194197 
8000 2 0.655221 2 0 0.168917 
9000 2 0.663085 2 0 0.172364 
10000 2 0.689672 2 0 0.18443 
11000 2 0.716029 2 0 0.19707 
12000 2 0.666971 2 0 0.174088 
13000 2 0.646565 2 0 0.165182 
14000 2 0.704831 2 0 0.191612 
15000 2 0.657856 2 0 0.170066 
16000 2 0.637872 2 0 0.161494 
17000 2 0.66113 2 0 0.171502 
18000 2 0.635024 2 0 0.160299 
19000 2 0.591461 2 0 0.142775 
20000 2 0.68782 2 0 0.183568 
21000 2 0.673383 2 0 0.176961 
22000 2 0.580207 2 0 0.138466 
23000 2 0.487744 2 0 0.106004 
24000 2 0.489509 2 0 0.106579 
25000 2 0.390451 2 0 0.0767021 
26000 2 0.549185 2 0 0.127011 
27000 2 0.529592 2 0 0.12008 
28000 2 0.467993 2 0 0.099684 
29000 2 0.553065 2 0 0.128411 
30000 2 0.524619 2 0 0.118357 
31000 2 0.599574 2 0 0.145935 
32000 2 0.441921 2 0 0.0916403 
33000 2 0.692244 2 0 0.185632 
34000 2 0.717772 2 0 0.197932 
35000 2 0.734836 2 0 0.20655 
36000 2 0.628811 2 0 0.157713 
37000 2 0.726387 2 0 0.202241 
38000 2 0.640486 2 0 0.162597 
39000 2 0.65654 2 0 0.169492 
40000 2 0.665032 2 0 0.173226 
41000 2 0.621119 2 0 0.154553 
42000 2 0.654561 2 0 0.16863 
43000 2 0.698826 2 0 0.188739 
44000 2 0.73595 2 0 0.207124 
45000 2 0.79483 2 0 0.239874 
46000 2 0.601036 2 0 0.14651 
47000 2 0.679712 2 0 0.179833 
48000 2 0.597373 2 0 0.145073 
49000 2 0.666971 2 0 0.174088 
50000 2 0.651355 2 0 0.167241 
51000 2 0.548284 2 0 0.126688 
52000 2 0.517082 2 0 0.115771 
53000 2 0.4476 2 0 0.093364 
54000 2 0.485974 2 0 0.105429 
55000 2 0.349996 2 0 0.0657857 
56000 2 0.45042 2 0 0.0942258 
57000 2 0.429441 2 0 0.0879058 
58000 2 0.395586 2 0 0.0781385 
59000 2 0.319572 2 0 0.0580293 
60000 2 0.571812 2 0 0.135306 
61000 2 0.370549 2 0 0.0712439 
62000 2 0.115444 2 0 0.0155128 
63000 1 0 1 0 0 
64000 1 0 1 0 0 
65000 1 0 1 0 0 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 1 0 1 0 0 
69000 1 0 1 0 0 
70000 2 0.0100164 2 0 0.000861821 
71000 1 0 1 0 0 
72000 1 0 1 0 0 
73000 1 0 1 0 0 
74000 1 0 1 0 0 
75000 1 0 1 0 0 
76000 1 0 1 0 0 
77000 1 0 1 0 0 
78000 1 0 1 0 0 
79000 1 0 1 0 0 
80000 1 0 1 0 0 
81000 2 0.391481 2 0 0.0769894 
82000 2 0.710169 2 0 0.194197 
83000 2 0.853612 2 0 0.278656 
84000 2 0.875852 2 0 0.295605 
85000 2 0.812981 2 0 0.251077 
86000 2 0.768564 2 0 0.224648 
87000 2 0.879776 2 0 0.298765 
88000 2 0.72809 2 0 0.203103 
89000 2 0.756044 2 0 0.217754 
90000 2 0.682847 2 0 0.18127 
91000 2 0.794352 2 0 0.239586 
92000 2 0.727638 2 0 0.202874 
93000 2 0.780193 2 0 0.231255 
94000 2 0.811619 2 0 0.250215 
95000 2 0.825094 2 0 0.258908 
96000 2 0.815238 2 0 0.252514 
97000 2 0.674019 2 0 0.177248 
98000 2 0.805303 2 0 0.246264 
99000 2 0.777696 2 0 0.229819 
100000 2 0.81926 2 0 0.255099 
