# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
36426417,52,38,-1,-1,6
36430743,43,57,-1,-1,3
36433387,16,8,-1,-1,1
36423487,45,58,-1,-1,1
36432002,8,12,-1,-1,4
36430157,21,32,-1,-1,6
36432045,57,29,-1,-1,0
36432353,52,50,-1,-1,3
36430949,15,39,-1,-1,2
36431475,32,33,-1,-1,0
36428422,16,12,-1,-1,5
36433364,40,48,-1,-1,0
36432208,50,10,-1,-1,2
36424434,34,14,-1,-1,3
36432022,2,6,-1,-1,5
36432456,28,39,-1,-1,5
36433093,43,58,-1,-1,1
36431238,20,12,-1,-1,2
36431848,35,14,-1,-1,3
36432558,20,39,-1,-1,4
36430147,54,4,-1,-1,2
36427681,32,25,-1,-1,7
36433638,23,39,-1,-1,4
36430403,44,4,-1,-1,6
36433015,43,11,-1,-1,7
36433259,31,39,-1,-1,6
36433026,4,7,-1,-1,4
36432393,56,1,-1,-1,3
36430952,6,2,-1,-1,4
36417350,0,43,-1,-1,4
36432759,50,54,-1,-1,3
36433062,24,19,-1,-1,0
36431605,22,6,-1,-1,6
36433748,48,2,-1,-1,1
36432118,46,44,-1,-1,7
36430390,44,20,-1,-1,7
36430725,26,19,-1,-1,3
36426481,1,0,-1,-1,5
36433233,9,41,-1,-1,3
36430118,20,51,-1,-1,6
36431710,27,34,-1,-1,6
36430237,40,14,-1,-1,4
36431735,26,1,-1,-1,5
36432374,2,18,-1,-1,4
36433443,33,41,-1,-1,5
36433529,39,28,-1,-1,1
36431019,57,18,-1,-1,3
36431581,33,47,-1,-1,5
36430183,6,53,-1,-1,7
36432415,23,27,-1,-1,6
36433439,9,57,-1,-1,7
36433229,49,21,-1,-1,5
36427903,6,47,-1,-1,7
36432455,2,0,-1,-1,6
36433751,13,39,-1,-1,4
36433047,12,46,-1,-1,2
36428475,2,3,-1,-1,2
36432983,44,17,-1,-1,7
36426620,49,10,-1,-1,6
36432435,12,41,-1,-1,2
36430823,36,22,-1,-1,6
36432678,17,32,-1,-1,2
36433261,29,19,-1,-1,7
36431084,30,55,-1,-1,4
36433595,32,35,-1,-1,0
36423862,54,11,-1,-1,3
36429745,17,19,-1,-1,3
36433061,40,5,-1,-1,2
36431622,25,34,-1,-1,4
36431791,33,21,-1,-1,4
36433566,47,43,-1,-1,6
36431754,31,50,-1,-1,5
36433179,44,45,-1,-1,1
36431554,28,40,-1,-1,0
