# Avida tasks data
# Mon Mar 24 17:20:47 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 28 
3000 425 
4000 152 
5000 0 
6000 29 
7000 287 
8000 1169 
9000 1258 
10000 1165 
11000 1329 
12000 1538 
13000 1478 
14000 1313 
15000 1332 
16000 1222 
17000 1177 
18000 1174 
19000 1107 
20000 1045 
21000 1066 
22000 1149 
23000 1026 
24000 1012 
25000 1115 
26000 1012 
27000 1192 
28000 1083 
29000 1221 
30000 1206 
31000 1160 
32000 1294 
33000 1235 
34000 1169 
35000 1361 
36000 1467 
37000 1275 
38000 1225 
39000 1314 
40000 1386 
41000 1511 
42000 1499 
43000 1479 
44000 1302 
45000 1343 
46000 1477 
47000 1372 
48000 1405 
49000 1595 
50000 1445 
51000 1371 
52000 1502 
53000 1544 
54000 1630 
55000 1362 
56000 1468 
57000 1414 
58000 1675 
59000 1357 
60000 1456 
61000 1419 
62000 1418 
63000 1261 
64000 1277 
65000 1391 
66000 1416 
67000 1308 
68000 1233 
69000 1533 
70000 1340 
71000 1700 
72000 1575 
73000 1448 
74000 1341 
75000 1433 
76000 1362 
77000 1544 
78000 1466 
79000 1339 
80000 1489 
81000 1559 
82000 1358 
83000 1413 
84000 1327 
85000 1651 
86000 1461 
87000 1471 
88000 1730 
89000 1603 
90000 1759 
91000 1419 
92000 1532 
93000 1648 
94000 1632 
95000 1462 
96000 1627 
97000 1361 
98000 1407 
99000 1672 
100000 1517 
