# Avida tasks data
# Sat Mar 29 10:54:39 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 13 
6000 911 
7000 1121 
8000 1178 
9000 1251 
10000 1118 
11000 1072 
12000 837 
13000 799 
14000 1014 
15000 1032 
16000 977 
17000 1091 
18000 916 
19000 946 
20000 990 
21000 1129 
22000 995 
23000 902 
24000 1103 
25000 1215 
26000 1020 
27000 1178 
28000 1433 
29000 1263 
30000 1409 
31000 1443 
32000 1301 
33000 1695 
34000 1497 
35000 1466 
36000 1397 
37000 1264 
38000 1416 
39000 1386 
40000 1416 
41000 1404 
42000 1388 
43000 1289 
44000 1517 
45000 1298 
46000 1318 
47000 1487 
48000 1326 
49000 1240 
50000 1437 
51000 1355 
52000 1269 
53000 1522 
54000 1472 
55000 1239 
56000 1128 
57000 1246 
58000 1233 
59000 1309 
60000 1324 
61000 1485 
62000 1675 
63000 1498 
64000 1567 
65000 1465 
66000 1399 
67000 1248 
68000 1424 
69000 1418 
70000 1494 
71000 1331 
72000 1503 
73000 1617 
74000 1631 
75000 1571 
76000 1555 
77000 1459 
78000 1544 
79000 1280 
80000 1385 
81000 1412 
82000 1251 
83000 1368 
84000 1408 
85000 1361 
86000 1308 
87000 1414 
88000 1436 
89000 1624 
90000 1453 
91000 1463 
92000 1506 
93000 1457 
94000 1307 
95000 1439 
96000 1587 
97000 1451 
98000 1428 
99000 1317 
100000 1425 
