# Avida tasks data
# Mon Mar 24 16:31:34 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 0 
6000 3 
7000 19 
8000 4 
9000 14 
10000 13 
11000 831 
12000 1156 
13000 1185 
14000 1094 
15000 1045 
16000 936 
17000 955 
18000 959 
19000 832 
20000 876 
21000 838 
22000 773 
23000 869 
24000 964 
25000 950 
26000 1110 
27000 930 
28000 718 
29000 846 
30000 769 
31000 804 
32000 794 
33000 738 
34000 852 
35000 937 
36000 786 
37000 958 
38000 942 
39000 877 
40000 981 
41000 1150 
42000 1088 
43000 1105 
44000 1115 
45000 1120 
46000 1225 
47000 1133 
48000 1419 
49000 1166 
50000 1255 
51000 1089 
52000 1313 
53000 1142 
54000 1087 
55000 1222 
56000 1136 
57000 1007 
58000 1241 
59000 1116 
60000 1034 
61000 997 
62000 1182 
63000 1464 
64000 1213 
65000 1241 
66000 1109 
67000 1150 
68000 1059 
69000 1175 
70000 1193 
71000 1350 
72000 1335 
73000 1217 
74000 1230 
75000 1136 
76000 1118 
77000 1410 
78000 1210 
79000 1290 
80000 1116 
81000 1199 
82000 1331 
83000 1215 
84000 1249 
85000 1402 
86000 1358 
87000 1337 
88000 1323 
89000 1369 
90000 1098 
91000 1600 
92000 1192 
93000 1381 
94000 1201 
95000 1012 
96000 1106 
97000 1018 
98000 1175 
99000 1156 
100000 998 
