# Avida tasks data
# Mon Mar 24 16:59:19 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 10 
4000 114 
5000 744 
6000 902 
7000 1101 
8000 1223 
9000 1168 
10000 1021 
11000 971 
12000 928 
13000 950 
14000 995 
15000 1036 
16000 1127 
17000 1106 
18000 1260 
19000 1219 
20000 1294 
21000 1276 
22000 1224 
23000 1234 
24000 1175 
25000 1296 
26000 1327 
27000 1137 
28000 1346 
29000 1656 
30000 1293 
31000 1220 
32000 1374 
33000 1108 
34000 1331 
35000 1423 
36000 1241 
37000 1413 
38000 1660 
39000 1402 
40000 1458 
41000 1374 
42000 1348 
43000 1653 
44000 1586 
45000 1310 
46000 1623 
47000 1597 
48000 1230 
49000 1371 
50000 1416 
51000 1481 
52000 1504 
53000 1350 
54000 1516 
55000 1400 
56000 1402 
57000 1491 
58000 1568 
59000 1647 
60000 1411 
61000 1389 
62000 1528 
63000 1459 
64000 1471 
65000 1587 
66000 1598 
67000 1330 
68000 1372 
69000 1274 
70000 1163 
71000 1385 
72000 1560 
73000 1380 
74000 1361 
75000 1437 
76000 1514 
77000 1724 
78000 1630 
79000 1468 
80000 1388 
81000 1465 
82000 1463 
83000 1484 
84000 1597 
85000 1409 
86000 1617 
87000 1438 
88000 1470 
89000 1443 
90000 1628 
91000 1545 
92000 1527 
93000 1435 
94000 1528 
95000 1433 
96000 1478 
97000 1485 
98000 1513 
99000 1539 
100000 1480 
