# Avida resource data
# Wed Sep 24 16:03:26 2014
# First column gives the current update, all further columns give the quantity
# of the particular resource at that update.
#  1: Update
#  2: resNOR0
#  3: resORN0
#  4: resNAND0
#  5: resAND0
#  6: resANDN0
#  7: resNOT1
#  8: resOR0
#  9: resXOR0
# 10: resANDN1
# 11: resOR1
# 12: resAND1
# 13: resXOR1
# 14: resORN1
# 15: resNOT0
# 16: resNOR1
# 17: resNAND1
# 18: resEQU1

0 82300 97300 97300 82300 97300 112900 112900 97300 97300 112900 112900 97300 82300 97300 97300 82300 99.4893 
1000 82300 97300 97300 82300 97300 112900 112900 97300 97300 112900 112900 97300 82300 97300 97300 82300 9949.5 
2000 82300 97300 97300 82300 97300 112900 112900 97300 97300 112900 112900 97300 82300 97300 97300 82300 9949.92 
3000 82300 97300 97300 82300 97300 112890 112900 97300 97298 112900 112900 97300 82300 97300 97300 82300 9949.92 
4000 82300 97300 97300 82300 97199 112875 112900 97300 97208 112900 112900 97300 82300 97266.5 97300 82295.8 9949.92 
5000 82298 97291.8 97281.5 82293.8 97211 112890 112900 97300 97207.5 112900 112893 97300 82300 97280.8 97300 82292.2 9949.92 
6000 82275.2 97274.2 97300 82273 97215.3 112879 112829 97300 97207 112793 112884 97300 82288.2 97285.2 97282.8 82295.8 9949.92 
7000 82277 97273 97299.5 82283.2 97229.3 112874 112835 97300 97222 112807 112896 97300 82288 97292.5 97271 82297.5 9949.92 
8000 82271 97263.5 97279 82277.8 97224.3 112866 112837 97300 97214.8 112801 112894 97300 82289.5 97283.2 97276.2 82299 9949.92 
9000 82273.5 97261.5 97277.8 82266.2 97231.5 112877 112846 97300 97215.5 112806 112886 97300 82287.2 97282.5 97273.2 82295.8 9949.92 
10000 82267.2 97261.8 97260 82272.5 97228 112870 112841 97300 97218.5 112802 112891 97300 82290 97284.5 97275.2 82297.2 9949.92 
11000 82271.2 97261.8 97260 82272.5 97213.8 112764 112835 97300 97205.5 112788 112892 97300 82292 97216.8 97277 82292.5 9949.92 
12000 82278.5 97264.8 97243 82277.5 97221.8 112786 112831 97300 97205.5 112792 112895 97300 82290.5 97218 97280.2 82281 9949.92 
13000 82279.8 97262.8 97247.5 82289.2 97221.8 112775 112817 97300 97213.5 112797 112897 97300 82290.8 97223.5 97270.2 82273.5 9949.92 
14000 82275.8 97258.3 97240 82288.5 97220.5 112797 112817 97300 97213.5 112796 112897 97300 82287.8 97218.5 97271.8 82264.2 9949.92 
15000 82266.8 97253.2 97239.8 82290.5 97229.5 112792 112827 97300 97217.3 112804 112896 97300 82287.8 97218.5 97273 82270.5 9949.92 
16000 82276 97215.8 97264 82287 97198.3 112768 112817 97300 97198 112784 112896 97300 82239.5 97210.5 97277.8 82271.5 9949.92 
17000 82281 97220.3 97257.5 82293.2 97201.5 112779 112813 97300 97187.3 112773 112898 97300 82219.8 97214.5 97275.8 82272.5 9949.92 
18000 82278.8 97231.8 97272 82288 97215.3 112769 112819 97300 97202.5 112786 112899 97300 82232.3 97215.5 97278 82270 9949.92 
19000 82281.5 97224 97268.8 82291 97210.5 112762 112820 97300 97198 112786 112896 97300 82236.5 97208 97277 82268.5 9949.92 
20000 82279 97213.5 97264.5 82291.8 97201.3 112768 112808 97300 97194 112778 112895 97300 82232.8 97201.8 97279.2 82275.2 9949.92 
21000 82278.2 97219.8 97272.8 82279.2 97217.3 112774 112813 97300 97202 112779 112878 97300 82231.8 97207 97282.2 82279.2 9949.92 
22000 82282.2 97227.5 97290.2 82274.2 97218.3 112775 112806 97300 97214.8 112781 112883 97300 82241.5 97214.3 97256.2 82285.8 9949.92 
23000 82282.8 97209.5 97264.3 82265.8 97211.5 112765 112796 97300 97210.5 112775 112882 97300 82232.5 97212.3 97256 82288 9949.92 
24000 82286 97218 97269.5 82266.3 97204.8 112769 112802 97300 97202.8 112769 112880 97300 82231.8 97207.8 97254 82287.5 9949.92 
25000 82280.8 97219.8 97272 82276.8 97213.3 112764 112809 97300 97215.3 112780 112886 97300 82232.5 97212.5 97254.8 82290.5 9949.92 
