# Avida tasks data
# Mon Mar 24 17:22:59 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 0 
6000 208 
7000 652 
8000 1295 
9000 1268 
10000 1264 
11000 1312 
12000 1278 
13000 1230 
14000 1334 
15000 1234 
16000 1117 
17000 1264 
18000 1374 
19000 1092 
20000 1068 
21000 1338 
22000 1296 
23000 1373 
24000 1270 
25000 1342 
26000 1226 
27000 1603 
28000 1303 
29000 1339 
30000 1363 
31000 1415 
32000 1236 
33000 893 
34000 764 
35000 356 
36000 118 
37000 0 
38000 0 
39000 0 
40000 0 
41000 0 
42000 0 
43000 0 
44000 0 
45000 0 
46000 1 
47000 558 
48000 1538 
49000 1369 
50000 1384 
51000 1404 
52000 1335 
53000 1356 
54000 1466 
55000 1570 
56000 1405 
57000 1571 
58000 1561 
59000 1615 
60000 1432 
61000 1600 
62000 1643 
63000 1785 
64000 1628 
65000 1633 
66000 1542 
67000 1713 
68000 1668 
69000 1608 
70000 1418 
71000 1725 
72000 1686 
73000 1655 
74000 1638 
75000 1450 
76000 1444 
77000 1610 
78000 1645 
79000 1713 
80000 1319 
81000 1413 
82000 1536 
83000 1575 
84000 1719 
85000 1742 
86000 1650 
87000 1586 
88000 1183 
89000 1506 
90000 1496 
91000 1967 
92000 1646 
93000 1599 
94000 1558 
95000 1608 
96000 1572 
97000 1782 
98000 1581 
99000 1546 
100000 1412 
