# Avida tasks data
# Mon Mar 24 16:57:03 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 7 
2000 20 
3000 1 
4000 285 
5000 544 
6000 1051 
7000 1383 
8000 1074 
9000 1431 
10000 1249 
11000 1273 
12000 1365 
13000 1439 
14000 1469 
15000 1519 
16000 1279 
17000 1395 
18000 1392 
19000 1471 
20000 1307 
21000 1202 
22000 1214 
23000 1274 
24000 1450 
25000 1470 
26000 1394 
27000 1347 
28000 1298 
29000 1266 
30000 1405 
31000 1404 
32000 1453 
33000 1469 
34000 1146 
35000 1318 
36000 1357 
37000 1408 
38000 1210 
39000 1227 
40000 1174 
41000 1069 
42000 1159 
43000 1121 
44000 1288 
45000 1530 
46000 1471 
47000 1390 
48000 1400 
49000 1309 
50000 1159 
51000 1325 
52000 1363 
53000 1566 
54000 1538 
55000 1445 
56000 1343 
57000 1406 
58000 1310 
59000 1344 
60000 1231 
61000 1382 
62000 1459 
63000 1422 
64000 1468 
65000 1568 
66000 1430 
67000 1249 
68000 1224 
69000 1268 
70000 1144 
71000 1260 
72000 1408 
73000 1226 
74000 1081 
75000 930 
76000 1002 
77000 1161 
78000 1217 
79000 1483 
80000 1448 
81000 1411 
82000 1428 
83000 1365 
84000 1446 
85000 1376 
86000 1311 
87000 1304 
88000 1550 
89000 1534 
90000 1431 
91000 1442 
92000 1473 
93000 1370 
94000 1533 
95000 1522 
96000 1669 
97000 1346 
98000 1358 
99000 1539 
100000 1342 
