# Avida tasks data
# Mon Mar 24 15:36:20 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 2 
3000 126 
4000 580 
5000 701 
6000 707 
7000 692 
8000 790 
9000 683 
10000 639 
11000 687 
12000 667 
13000 671 
14000 631 
15000 634 
16000 600 
17000 547 
18000 652 
19000 823 
20000 790 
21000 808 
22000 759 
23000 976 
24000 710 
25000 709 
26000 753 
27000 795 
28000 640 
29000 846 
30000 835 
31000 1006 
32000 907 
33000 927 
34000 918 
35000 809 
36000 881 
37000 926 
38000 1001 
39000 970 
40000 1068 
41000 894 
42000 961 
43000 813 
44000 686 
45000 666 
46000 792 
47000 871 
48000 957 
49000 810 
50000 1112 
51000 773 
52000 964 
53000 783 
54000 889 
55000 939 
56000 838 
57000 955 
58000 862 
59000 779 
60000 750 
61000 869 
62000 752 
63000 819 
64000 836 
65000 865 
66000 976 
67000 749 
68000 986 
69000 911 
70000 1011 
71000 1104 
72000 840 
73000 886 
74000 737 
75000 776 
76000 851 
77000 874 
78000 758 
79000 893 
80000 816 
81000 693 
82000 830 
83000 815 
84000 842 
85000 1076 
86000 1099 
87000 929 
88000 914 
89000 792 
90000 899 
91000 837 
92000 806 
93000 743 
94000 948 
95000 893 
96000 801 
97000 810 
98000 842 
99000 876 
100000 1086 
