# Avida tasks data
# Mon Mar 24 16:13:36 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 1 
2000 0 
3000 874 
4000 1155 
5000 847 
6000 863 
7000 749 
8000 931 
9000 877 
10000 766 
11000 808 
12000 861 
13000 868 
14000 697 
15000 692 
16000 748 
17000 689 
18000 879 
19000 909 
20000 949 
21000 963 
22000 905 
23000 1056 
24000 939 
25000 879 
26000 899 
27000 847 
28000 833 
29000 889 
30000 1014 
31000 986 
32000 1126 
33000 1145 
34000 1062 
35000 699 
36000 802 
37000 649 
38000 759 
39000 790 
40000 705 
41000 742 
42000 661 
43000 738 
44000 751 
45000 752 
46000 722 
47000 586 
48000 634 
49000 511 
50000 547 
51000 473 
52000 425 
53000 517 
54000 416 
55000 430 
56000 450 
57000 436 
58000 402 
59000 271 
60000 247 
61000 306 
62000 0 
63000 0 
64000 0 
65000 0 
66000 0 
67000 0 
68000 0 
69000 0 
70000 0 
71000 0 
72000 0 
73000 0 
74000 0 
75000 1 
76000 0 
77000 0 
78000 865 
79000 817 
80000 765 
81000 882 
82000 872 
83000 964 
84000 846 
85000 987 
86000 827 
87000 696 
88000 766 
89000 797 
90000 723 
91000 759 
92000 657 
93000 733 
94000 819 
95000 819 
96000 718 
97000 790 
98000 761 
99000 1090 
100000 822 
