# Avida tasks data
# Mon Mar 24 15:20:38 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 17 
4000 254 
5000 756 
6000 726 
7000 755 
8000 762 
9000 1012 
10000 806 
11000 846 
12000 1053 
13000 771 
14000 996 
15000 900 
16000 913 
17000 877 
18000 1026 
19000 1113 
20000 1152 
21000 1038 
22000 1098 
23000 999 
24000 947 
25000 966 
26000 913 
27000 776 
28000 862 
29000 888 
30000 872 
31000 860 
32000 935 
33000 923 
34000 834 
35000 909 
36000 1078 
37000 981 
38000 962 
39000 895 
40000 1109 
41000 879 
42000 1093 
43000 1089 
44000 787 
45000 949 
46000 818 
47000 762 
48000 660 
49000 819 
50000 754 
51000 958 
52000 783 
53000 815 
54000 732 
55000 945 
56000 835 
57000 927 
58000 840 
59000 731 
60000 759 
61000 841 
62000 725 
63000 610 
64000 571 
65000 567 
66000 522 
67000 508 
68000 687 
69000 957 
70000 1008 
71000 1239 
72000 1190 
73000 920 
74000 994 
75000 1067 
76000 981 
77000 843 
78000 883 
79000 860 
80000 962 
81000 1119 
82000 1394 
83000 1281 
84000 1173 
85000 979 
86000 956 
87000 827 
88000 1056 
89000 819 
90000 913 
91000 742 
92000 714 
93000 787 
94000 772 
95000 779 
96000 894 
97000 639 
98000 553 
99000 188 
100000 0 
