# Avida tasks data
# Mon Mar 24 17:17:06 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 121 
4000 501 
5000 1176 
6000 1104 
7000 1257 
8000 1096 
9000 1202 
10000 1051 
11000 1043 
12000 1040 
13000 1133 
14000 948 
15000 1227 
16000 1026 
17000 929 
18000 995 
19000 1126 
20000 1173 
21000 1314 
22000 1101 
23000 1074 
24000 1090 
25000 1045 
26000 1426 
27000 1216 
28000 1012 
29000 1029 
30000 1287 
31000 1082 
32000 1267 
33000 1391 
34000 1257 
35000 1392 
36000 1117 
37000 1331 
38000 1066 
39000 1209 
40000 1274 
41000 1207 
42000 1359 
43000 1180 
44000 1325 
45000 1183 
46000 1157 
47000 1151 
48000 1275 
49000 1148 
50000 1186 
51000 1066 
52000 1180 
53000 1136 
54000 1048 
55000 1410 
56000 1443 
57000 1524 
58000 1361 
59000 1315 
60000 1180 
61000 1556 
62000 1115 
63000 1237 
64000 1351 
65000 1304 
66000 1200 
67000 1254 
68000 1177 
69000 1229 
70000 1290 
71000 1457 
72000 1270 
73000 1141 
74000 1216 
75000 1408 
76000 1274 
77000 1197 
78000 1263 
79000 1152 
80000 1364 
81000 1393 
82000 1407 
83000 1324 
84000 1272 
85000 1219 
86000 1307 
87000 1372 
88000 1278 
89000 1249 
90000 1150 
91000 1274 
92000 1488 
93000 1251 
94000 1196 
95000 1267 
96000 1287 
97000 1254 
98000 1510 
99000 1477 
100000 1459 
