# Avida tasks data
# Sat Mar 29 10:54:38 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 0 
3000 197 
4000 371 
5000 435 
6000 1120 
7000 1231 
8000 1294 
9000 1304 
10000 1240 
11000 1479 
12000 1529 
13000 1271 
14000 1518 
15000 1238 
16000 1549 
17000 1554 
18000 1448 
19000 1384 
20000 1294 
21000 1335 
22000 1313 
23000 1287 
24000 1387 
25000 1267 
26000 1285 
27000 1256 
28000 1394 
29000 1495 
30000 1483 
31000 1455 
32000 1284 
33000 1416 
34000 1445 
35000 1474 
36000 1139 
37000 1241 
38000 1357 
39000 1383 
40000 1323 
41000 1300 
42000 1350 
43000 1479 
44000 1495 
45000 1554 
46000 1454 
47000 1392 
48000 1298 
49000 1475 
50000 1528 
51000 1327 
52000 1424 
53000 1321 
54000 1313 
55000 1238 
56000 1302 
57000 1365 
58000 1420 
59000 1624 
60000 1383 
61000 1459 
62000 1443 
63000 1363 
64000 1544 
65000 1611 
66000 1662 
67000 1575 
68000 1442 
69000 1436 
70000 1347 
71000 1504 
72000 1206 
73000 1488 
74000 1569 
75000 1245 
76000 1503 
77000 1466 
78000 1230 
79000 1466 
80000 1435 
81000 1520 
82000 1544 
83000 1568 
84000 1453 
85000 1332 
86000 1440 
87000 1442 
88000 1528 
89000 1630 
90000 1590 
91000 1731 
92000 1582 
93000 1216 
94000 1260 
95000 1231 
96000 1121 
97000 1233 
98000 1313 
99000 1340 
100000 1279 
