# Avida tasks data
# Mon Mar 24 16:53:35 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 36 
3000 0 
4000 0 
5000 8 
6000 0 
7000 762 
8000 1296 
9000 1302 
10000 1302 
11000 1336 
12000 1599 
13000 1307 
14000 1458 
15000 1561 
16000 1495 
17000 1394 
18000 1378 
19000 1281 
20000 1378 
21000 1466 
22000 1592 
23000 1526 
24000 1482 
25000 1320 
26000 1464 
27000 1339 
28000 1374 
29000 1505 
30000 1495 
31000 1325 
32000 1296 
33000 1215 
34000 955 
35000 1135 
36000 1030 
37000 1033 
38000 1110 
39000 1252 
40000 1168 
41000 1123 
42000 1010 
43000 861 
44000 741 
45000 968 
46000 880 
47000 644 
48000 504 
49000 972 
50000 1388 
51000 1308 
52000 1163 
53000 1167 
54000 1438 
55000 1407 
56000 1359 
57000 1186 
58000 1423 
59000 1161 
60000 1240 
61000 1594 
62000 1311 
63000 1143 
64000 1349 
65000 1524 
66000 1411 
67000 1586 
68000 1514 
69000 1425 
70000 1538 
71000 1324 
72000 1311 
73000 1386 
74000 1632 
75000 1242 
76000 1266 
77000 1151 
78000 1312 
79000 1633 
80000 1442 
81000 1416 
82000 1477 
83000 1447 
84000 1433 
85000 1346 
86000 1305 
87000 1280 
88000 1386 
89000 1427 
90000 1433 
91000 1275 
92000 1084 
93000 1368 
94000 1209 
95000 1222 
96000 1051 
97000 1289 
98000 1292 
99000 1326 
100000 1278 
