# Avida tasks data
# Mon Mar 24 16:46:43 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 25 
5000 700 
6000 952 
7000 872 
8000 967 
9000 1106 
10000 1097 
11000 1102 
12000 1116 
13000 1140 
14000 1004 
15000 1057 
16000 914 
17000 1079 
18000 1069 
19000 1089 
20000 1178 
21000 1230 
22000 975 
23000 944 
24000 1145 
25000 1228 
26000 1144 
27000 1188 
28000 1125 
29000 1028 
30000 1089 
31000 962 
32000 930 
33000 798 
34000 1029 
35000 1214 
36000 1234 
37000 1028 
38000 1041 
39000 926 
40000 963 
41000 956 
42000 1023 
43000 904 
44000 968 
45000 759 
46000 902 
47000 903 
48000 800 
49000 982 
50000 751 
51000 902 
52000 896 
53000 1026 
54000 975 
55000 862 
56000 878 
57000 914 
58000 1001 
59000 1171 
60000 960 
61000 1031 
62000 1009 
63000 1077 
64000 1109 
65000 900 
66000 748 
67000 1005 
68000 880 
69000 726 
70000 867 
71000 838 
72000 883 
73000 968 
74000 962 
75000 822 
76000 872 
77000 841 
78000 680 
79000 777 
80000 850 
81000 881 
82000 876 
83000 955 
84000 837 
85000 764 
86000 935 
87000 919 
88000 992 
89000 1019 
90000 1032 
91000 1054 
92000 1088 
93000 1160 
94000 1252 
95000 1161 
96000 1273 
97000 1295 
98000 1216 
99000 1241 
100000 1245 
