# Avida tasks data
# Thu Mar 27 12:30:24 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 0 
6000 0 
7000 0 
8000 0 
9000 975 
10000 1151 
11000 1168 
12000 1150 
13000 1287 
14000 1161 
15000 1278 
16000 1133 
17000 1190 
18000 998 
19000 1157 
20000 1202 
21000 1132 
22000 1217 
23000 1302 
24000 1242 
25000 1234 
26000 1210 
27000 1115 
28000 984 
29000 975 
30000 941 
31000 904 
32000 751 
33000 917 
34000 739 
35000 959 
36000 815 
37000 815 
38000 821 
39000 1034 
40000 861 
41000 803 
42000 769 
43000 852 
44000 858 
45000 837 
46000 821 
47000 882 
48000 898 
49000 728 
50000 796 
51000 711 
52000 806 
53000 932 
54000 882 
55000 1129 
56000 1274 
57000 1317 
58000 1373 
59000 1439 
60000 1144 
61000 1098 
62000 1027 
63000 1016 
64000 1183 
65000 1155 
66000 1160 
67000 1352 
68000 1263 
69000 1185 
70000 1256 
71000 1224 
72000 1428 
73000 1342 
74000 1508 
75000 1283 
76000 1143 
77000 1069 
78000 1523 
79000 1484 
80000 1291 
81000 1314 
82000 1334 
83000 1340 
84000 1050 
85000 1160 
86000 1106 
87000 1075 
88000 1017 
89000 999 
90000 975 
91000 997 
92000 971 
93000 1070 
94000 1019 
95000 1008 
96000 907 
97000 903 
98000 968 
99000 928 
100000 819 
